team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
BLUE SOCKS,16,270,8.629001510868438,6450,5812,1494,204,800,788,150,0.25705437026841016,699,47,29,724,289.73859111111113,831.2363399999999,3.730539799713877,1.1891793133047208,3,1,1,6,6,2,5,1,10,10,17,28,45,9,2
FREE AT LAST,23,247,8.449953780990732,7872,6892,1717,242,980,903,160,0.2491294254207777,1168,69,14,1044,536.85744,1499.3839399999997,4.13674397260274,1.2837191267123285,6,9,5,7,2,5,2,3,2,2,29,14,43,10,2
WESTSIDE MARAUDERS,23,270,11.293347628632505,7771,6912,1764,265,981,954,152,0.2552083333333333,1350,86,32,1366,576.4213533333333,1662.7818260000001,3.8428090222222218,1.2316902414814817,10,9,9,6,5,10,6,10,6,7,39,39,78,1,3
LOUISVILLE SLUGGERS,23,221,10.685458023782413,7590,6818,1775,265,978,943,168,0.2603402757406864,1113,72,50,1093,474.4108933333333,1389.12422,3.8362066846361187,1.2480900449236298,10,8,8,8,10,5,8,4,7,6,44,30,74,2,3
NATIONAL PASTIME,23,266,10.492170980729934,7608,6860,1776,238,922,904,160,0.2588921282798834,1268,80,52,1221,535.9732755555556,1558.25742,3.804226719242903,1.2289096372239747,6,5,5,7,9,9,9,7,9,8,32,42,74,2,3
MELONHEADS,23,242,10.051846575886643,7241,6462,1646,242,911,902,180,0.2547199009594553,1209,74,27,1241,513.3787933333334,1449.21109,3.821678362282879,1.19868576509512,7,3,4,9,4,7,4,8,8,9,27,36,63,3,3
HOOSIERS,23,226,10.321321157584086,7839,6957,1751,257,1001,959,226,0.25168894638493605,1274,73,16,1128,572.759728888889,1637.89389,4.046183328100471,1.2856309968602826,8,10,10,10,3,6,1,6,3,2,41,18,59,4,3
BIG RED MACHINE,23,209,9.787040089989024,7472,6639,1660,259,930,909,116,0.2500376562735352,1032,63,116,1003,442.1548444444445,1291.2082300000002,3.8560015503875973,1.2511707655038762,9,6,6,1,2,4,10,3,5,4,24,26,50,5,3
ERIE LAKERS,23,204,8.338393129907852,7332,6511,1684,259,934,930,118,0.2586392259253571,960,56,38,930,440.40843111111116,1231.71166,4.128829041666667,1.2830329791666666,9,7,7,2,8,3,7,2,1,3,33,16,49,6,3
BLUE SOCKS,16,270,8.629001510868438,6450,5812,1494,204,800,788,150,0.25705437026841016,699,47,29,724,289.73859111111113,831.2363399999999,3.730539799713877,1.1891793133047208,4,1,1,5,7,2,5,1,10,10,18,28,46,7,3
FREE BIRDS,23,248,9.139971241524426,7333,6476,1657,223,893,875,121,0.25586781964175415,1281,79,19,1302,568.6753966666668,1601.38594,3.9953774941451994,1.2501061202185793,5,2,2,3,6,8,2,9,4,5,18,28,46,7,3
FREE AT LAST,23,232,8.359614081402416,7470,6554,1614,238,914,876,140,0.2462618248397925,1226,72,22,1126,554.8750033333333,1580.3810700000001,4.073307528548124,1.2890547063621534,6,4,3,4,1,5,3,5,2,1,18,16,34,8,3
WESTSIDE MARAUDERS,23,265,11.030460137305875,7386,6578,1681,261,945,921,144,0.2555487990270599,1363,87,32,1384,572.3001477777779,1678.0964360000003,3.778944482758621,1.2311786030814382,8,8,6,3,6,10,6,10,9,8,31,43,74,1,4
LOUISVILLE SLUGGERS,23,212,10.812055423180226,7640,6881,1789,258,985,946,168,0.2599912803371603,1121,74,50,1150,485.5256266666667,1397.12331,3.898064799286352,1.2463187421944693,7,9,9,8,8,5,7,5,6,6,41,29,70,2,4
