team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
LOUISVILLE SLUGGERS,23,206,10.821520126689688,7767,6991,1812,268,1004,959,177,0.259190387641253,1049,66,66,1060,454.96746222222225,1314.75264,3.9034386653956155,1.2533390276453764,10,10,10,9,9,4,9,5,4,5,48,27,75,1,6
WESTSIDE MARAUDERS,22,270,11.075250271573555,7463,6632,1686,260,948,928,154,0.2542219541616405,1347,83,32,1325,581.2390688888888,1643.081406,3.883557253155159,1.219808022271715,9,8,7,7,5,9,6,9,7,8,36,39,75,1,6
MELONHEADS,23,244,10.093354207723209,7388,6598,1673,246,913,915,156,0.25356168535919976,1285,79,19,1242,545.95114,1567.14408,3.823782303501946,1.2195673774319067,5,4,6,8,4,8,4,8,9,9,27,38,65,2,6
NATIONAL PASTIME,23,259,10.407284156462666,7577,6799,1738,257,931,931,144,0.2556258273275482,1082,68,109,1053,467.9664288888889,1331.20952,3.8925118853974126,1.2303230314232902,7,6,8,5,7,5,10,4,5,7,33,31,64,3,6
HOOSIERS,23,232,10.323520770855932,7823,6922,1745,249,996,937,218,0.25209477029760186,1233,77,17,1170,533.1252088888889,1582.23175,3.8914248824006488,1.2832374290348743,6,9,9,10,3,7,3,7,6,2,37,25,62,4,6
BIG RED MACHINE,23,215,9.79109784838307,7454,6617,1657,259,934,913,133,0.2504155961916276,1192,72,59,1147,514.0315333333333,1484.4789300000002,3.881110570469798,1.245368229865772,8,7,5,4,2,6,7,6,8,6,26,33,59,5,6
FREE BIRDS,23,244,9.132990192896926,7305,6468,1665,212,879,856,146,0.25742115027829315,1379,84,0,1342,617.3990866666667,1751.64108,4.029435663524293,1.2702255837563452,1,2,3,6,8,10,1,10,3,4,20,28,48,6,6
BLUE SOCKS,17,265,9.368219653813854,6926,6243,1595,222,858,846,156,0.2554861444818196,748,51,29,781,295.6308622222223,870.50353,3.557055828877006,1.1637747727272727,2,1,1,8,6,2,5,1,10,10,18,28,46,7,6
ERIE LAKERS,23,203,8.298775645757667,7292,6501,1716,242,916,910,118,0.2639593908629442,1164,66,2,1042,542.7723222222222,1524.3489499999996,4.196693213058419,1.3095781357388312,4,5,4,2,10,4,2,3,1,1,25,11,36,8,6
FREE AT LAST,22,225,8.13383570751747,7207,6328,1564,232,892,850,132,0.24715549936788875,1018,60,60,1008,460.73951555555556,1298.6109600000002,4.073335599214145,1.2756492730844795,3,3,2,3,1,3,8,2,2,3,12,18,30,9,6
WESTSIDE MARAUDERS,23,262,11.158405706012406,7645,6852,1761,259,956,953,137,0.2570052539404553,1355,86,32,1361,576.2503633333333,1660.3897060000002,3.827493188191882,1.2253798568265684,8,8,9,5,7,10,5,10,7,7,37,39,76,1,7
LOUISVILLE SLUGGERS,23,214,10.75729643761119,7680,6918,1780,270,971,957,169,0.25729979762937266,1136,70,38,1166,498.49998666666676,1416.67128,3.9493836971831,1.2470697887323945,10,9,10,7,8,5,6,5,5,6,44,27,71,2,7
