playerid,xMLBAMID,Team,PlayerName,auction_type,fg_auction_dollars
24763,681517,STL,Kyle Leahy,pit,-2.6438542214665937
27758,690986,MIL,Kyle Harrison,pit,-2.6668033018847384
NA,702281,MIA,Robert Snelling,pit,-2.7426479202581877
20116,676534,MIA,Calvin Faucher,pit,-2.962744051681295
18341,642759,WSN,Julian Fernandez,pit,-3.054742133084493
15947,592773,STL,Ryne Stanek,pit,-3.0790787151069106
17968,656271,CIN,Brock Burke,pit,-3.1110304843913337
11442,596142,MIL,Gary Sanchez,bat,-3.1267959868875748
19926,663574,CIN,Tony Santillan,pit,-3.24321557304006
13346,571948,CHC,Hoby Milner,pit,-3.2836219298547675
23301,676083,MIA,Janson Junk,pit,-3.3105821359151326
16727,592779,LAD,Brock Stewart,pit,-3.3321938954438686
22191,668964,NYM,Tobias Myers,pit,-3.365804579137998
23394,676571,WSN,PJ Poulin,pit,-3.4350736080053075
31204,680736,LAD,Justin Wrobleski,pit,-3.4612891528155165
25643,686452,WSN,Drew Millas,bat,-3.547951611345952
31616,688158,SDP,David Morgan,pit,-3.5876119069642725
29928,689266,ATL,Dylan Dodd,pit,-3.678739580102322
NA,687985,MIA,Joshua White,pit,-3.7046098283426234
18795,602104,STL,Ramon Urias,bat,-3.755452661599678
33850,687075,MIL,Brandon Sproat,pit,-3.7856535232633126
33322,807713,CHC,Matt Shaw,bat,-3.7943228724407243
30160,690916,STL,Richard Fitts,pit,-3.800499205450582
22054,667472,CIN,Dane Myers,bat,-3.8988642835559304
30249,676263,LAD,Jack Dreyer,pit,-3.9275565292744066
15734,641745,PHI,Brad Keller,pit,-3.9737036560953864
20546,681982,MIL,Grant Anderson,pit,-3.9836211485050326
33248,684974,MIL,Craig Yoho,pit,-3.9898016074128613
17639,664875,PIT,Justin Lawrence,pit,-3.990544773500438
26413,687863,CHC,Porter Hodge,pit,-4.0000916037908265
27779,693821,ATL,Bryce Elder,pit,-4.000743770290593
14295,593974,SDP,Wandy Peralta,pit,-4.013393946928085
30107,681035,NYM,Christian Scott,pit,-4.0580305845449915
14332,606303,ATL,Joel Payamps,pit,-4.076654991829282
12718,605288,SFG,Adrian Houser,pit,-4.087001791384763
20385,676755,PIT,Isaac Mattson,pit,-4.148375169792832
2396,467793,ARI,Carlos Santana,bat,-4.187369169724988
22207,669084,MIL,DL Hall,pit,-4.196870859384571
6984,472610,NYM,Luis Garcia,pit,-4.23604345076213
24607,680742,PHI,Jonathan Bowlan,pit,-4.2361678262316715
19753,642528,ARI,Jonathan Loaisiga,pit,-4.303380836601056
19274,657097,CHC,Jacob Webb,pit,-4.330935018113932
13675,621438,NYM,Tyrone Taylor,bat,-4.331145358272479
21741,665871,CHC,Javier Assad,pit,-4.353932963433683
17859,640470,NYM,Adbert Alzolay,pit,-4.359569831301225
13435,572955,CIN,Pierce Johnson,pit,-4.388584560696936
19261,641656,ATL,Ian Hamilton,pit,-4.3939967273614835
12317,607067,CHC,Colin Rea,pit,-4.419645157431119
24862,681676,STL,Ryan Fernandez,pit,-4.473381615165309
33174,682995,PIT,Hunter Barco,pit,-4.574287921046663
19444,670990,PIT,Yohan Ramirez,pit,-4.586105247822033
19349,657571,CIN,Caleb Ferguson,pit,-4.656611164552459
19867,656288,SDP,Griffin Canning,pit,-4.736449852329183
31913,802686,ATL,Hayden Harris,pit,-4.821339294255109
27482,690987,WSN,Robert Hassell III,bat,-4.85070226590281
26448,686790,SFG,Trevor McDonald,pit,-4.870405854342028
NA,823550,SDP,Sung-Mun Song,bat,-4.877270861185371
28142,691373,PIT,Jhostynxon Garcia,bat,-4.926273274068467
21853,666181,CIN,Will Benson,bat,-4.934618159789667
33527,694462,ATL,Hurston Waldrep,pit,-4.976848390907347
19222,669199,MIA,Lake Bachar,pit,-4.9888893424660905
