Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Name,xMLBAMID,playerids,playerid,fg_auction_dollars
CIN,Reds,8,7,21,31,0,1,NA,117,486,103,53,49,16,135,34,NA,2,3.73669,1.16926,10.4046,2.63287,3.95179,1.21443,0.278289,0.0704208,0.20786771178245544,NA,0.228031,0.29047,0.733372,3.50558,567.2000000000003,4.84786324786325,543,4.641025641025641,2.47419,2.19499,11,100.66999816894531,18,NL,Chase Burns,695505,35333,35333,10.320558086289042
CHC,Cubs,11,9,29,29,0,0,NA,167,699,156,78,72,22,149,49,NA,7,3.88941,1.22574,8.01349,2.61611,3.06313,1.16513,0.212945,0.0695188,0.14342616498470306,NA,0.24297,0.284804,0.727009,4.03584,689.5999999999998,4.129341317365268,679,4.065868263473054,2.41906,2.59725,16,232.55999755859375,17,NL,Matthew Boyd,571510,15440,15440,11.116987697033176
CIN,Reds,9,9,28,28,0,0,NA,151,640,140,75,70,21,154,42,NA,16,4.1343,1.20156,9.17356,2.47746,3.70281,1.24745,0.241013,0.0650891,0.1759236454963684,NA,0.240763,0.292883,0.701427,4.04409,629.1000000000001,4.166225165562915,616,4.079470198675497,2.36258,2.35225,14,126.47000122070312,18,NL,Nick Lodolo,666157,26378,26378,8.069466171621386
PIT,Pirates,10,11,31,31,0,0,NA,175,751,174,88,82,22,152,53,NA,11,4.19268,1.29668,7.80292,2.71637,2.87256,1.10871,0.202514,0.0704994,0.1320142298936844,NA,0.253959,0.297779,0.705988,4.09378,684.0000000000001,3.9085714285714293,701,4.005714285714285,2.33999,2.38206,16,569.21002197265625,27,NL,Mitch Keller,656605,17594,17594,3.335713339672293
SEA,Mariners,11,10,31,31,0,0,NA,179,749,166,82,76,24,167,51,NA,7,3.81689,1.20843,8.38765,2.54297,3.29837,1.22555,0.223331,0.0677096,0.15562153607606888,NA,0.24028,0.283538,0.735471,4.00047,757.8000000000001,4.233519553072626,743,4.150837988826815,2.33486,2.16617,17,172.60000610351562,11,AL,Luis Castillo,622491,15689,15689,NA
CIN,Reds,10,12,31,31,0,0,NA,169,726,165,89,82,25,160,54,NA,10,4.37771,1.29694,8.53286,2.88916,2.9534,1.31346,0.221042,0.0748432,0.1461988389492035,NA,0.249775,0.295034,0.707945,4.28214,642.1000000000001,3.7994082840236696,648,3.834319526627219,2.33454,2.13389,15,318.2099914550781,18,NL,Brady Singer,663903,25377,25377,2.7230707577235655
LAA,Angels,9,10,31,31,0,0,NA,169,728,165,86,79,25,173,63,NA,5,4.20876,1.34191,9.20507,3.32379,2.76945,1.33083,0.238066,0.0859613,0.15210451185703278,NA,0.249519,0.302403,0.737695,4.20677,656.1000000000001,3.88224852071006,662,3.9171597633136095,2.32465,1.96174,15,503.260009765625,1,AL,Yusei Kikuchi,579328,20633,20633,NA
LAD,Dodgers,8,5,23,23,0,0,NA,116,471,91,49,45,15,138,40,NA,6,3.51178,1.13265,10.7097,3.12062,3.43192,1.18038,0.292261,0.0851598,0.20710156112909317,NA,0.213878,0.278211,0.746098,3.65117,575.3000000000001,4.95948275862069,523,4.508620689655173,2.30605,2.45768,13,1.2999999523162842,22,NL,Shohei Ohtani,660271,19755,19755,13.75736897524398
SDP,Padres,4,2,0,66,32,2,NA,66,259,39,19,18,6,106,24,NA,2,2.43299,0.962726,14.5007,3.3328700000000002,4.35082,0.812601,0.41026,0.0942949,0.31596532464027405,NA,0.168176,0.275726,0.803544,2.30056,615.2000000000002,9.321212121212124,554,8.393939393939394,2.3046,2.39491,0,28.979999542236328,29,NL,Mason Miller,695243,31757,31757,22.02036140420595
NYY,Yankees,11,9,28,28,0,0,NA,155,655,136,74,69,21,163,56,NA,6,3.9972,1.24213,9.44922,3.26632,2.89293,1.19623,0.248604,0.0859352,0.16266919672489166,NA,0.230249,0.28315,0.722282,3.97737,675.1,4.355483870967742,642,4.141935483870967,2.30232,1.97265,15,194.19000244140625,9,AL,Carlos Rodón,607074,16137,16137,NA
