billikenTeam,slot,player,team,2021eligibility,contract,salary
Free Birds,2B/SS,Matt Shaw,NA,NA,,
Free Birds,1B/3B,Miguel Andujar,NA,NA,,
Free Birds,OF,T.J. Friedl,NA,NA,,
Free Birds,OF,Teoscar Hernandez,NA,NA,,
Free Birds,OF,NA,NA,NA,,
Free Birds,OF,Bryan Reynolds,NA,NA,,
Free Birds,OF,Alek Thomas,NA,NA,,
Free Birds,Util,Tommy Pham,NA,NA,,
Free Birds,Bench,Andrew McCutchen,NA,NA,,
Free Birds,Bench,Rafael Flores,NA,NA,,
Free Birds,IL,Jake Fraley,NA,NA,,
Free Birds,NA,NA,NA,NA,,
Free Birds,P,Andrew Abbott,NA,NA,,
Free Birds,P,Yu Darvish,NA,NA,,
Free Birds,P,Mitch Keller,NA,NA,,
Free Birds,P,Adrian Morejon,NA,NA,,
Free Birds,P,Robbie Ray,NA,NA,,
Free Birds,P,Brandon Sproat,NA,NA,,
Free Birds,P,Spencer Strider,NA,NA,,
Free Birds,P,Alex Vesia,NA,NA,,
Free Birds,P,Hurston Waldrep,NA,NA,,
Free Birds,IL,Jason Adam,NA,NA,,
Free Birds,IL,Logan Henderson,NA,NA,,
Free Birds,IL,Reynaldo Lopez,NA,NA,,
Free Birds,IL,Evan Phillips,NA,NA,,
Free Birds,IL,Jose Quintana,NA,NA,,
Free Birds,NA,NA,NA,NA,,
Free Birds,Westside Marauders,NA,NA,NA,,
Westside Marauders,SLOT,PLAYER,TEAM,2021 ELIGIBILITY,,
Westside Marauders,C,Joey Bart,NA,NA,,
Westside Marauders,C,Carson Kelly,NA,NA,,
Westside Marauders,1B,Pete Alonso,NA,NA,,
Westside Marauders,2B,Jeff McNeil,NA,NA,,
Westside Marauders,3B,Brady House,NA,NA,,
Westside Marauders,SS,Thomas Saggese,NA,NA,,
Westside Marauders,2B/SS,Jordan Lawler,NA,NA,,
Westside Marauders,1B/3B,Sal Stewart,NA,NA,,
Westside Marauders,OF,"Ronald Acuna, Jr.",NA,NA,,
Westside Marauders,OF,Oneil Cruz,NA,NA,,
Westside Marauders,OF,Brenton Doyle,NA,NA,,
Westside Marauders,OF,Andy Pages,NA,NA,,
Westside Marauders,OF,Spencer Steer,NA,NA,,
Westside Marauders,Util,Francisco Alvarez,NA,NA,,
Westside Marauders,Bench,Andrew Vaughan,NA,NA,,
Westside Marauders,Bench,James Tibbs III,NA,NA,,
Westside Marauders,IL,Will Smith,NA,NA,,
Westside Marauders,IL,Masyn Winn,NA,NA,,
Westside Marauders,NA,NA,NA,NA,,
Westside Marauders,P,Chase Burns,NA,NA,,
Westside Marauders,P,Zac Gallen,NA,NA,,
Westside Marauders,P,Hunter Greene,NA,NA,,
Westside Marauders,P,Mason Miller,NA,NA,,
Westside Marauders,P,Brandon Pfaadt,NA,NA,,
Westside Marauders,P,Quinn Priester,NA,NA,,
Westside Marauders,P,Chris Sale,NA,NA,,
Westside Marauders,P,Jameson Taillon,NA,NA,,
Westside Marauders,P,Amber Uribe,NA,NA,,
Westside Marauders,Bench,Hayden Birdsong,NA,NA,,
Westside Marauders,Bench,Alexis Diaz,NA,NA,,
Westside Marauders,Bench,Griffin Herring,NA,NA,,
Westside Marauders,Bench,Kohl Drake,NA,NA,,
Westside Marauders,IL,Kevin Ginkel,NA,NA,,
Westside Marauders,NA,NA,NA,NA,,
Westside Marauders,Hoosiers,NA,NA,NA,,
Hoosiers,SLOT,PLAYER,TEAM,2021 ELIGIBILITY,,
Hoosiers,C,Moises Ballesteros,NA,NA,,
Hoosiers,C,Agustin Ramirez,NA,NA,,
Hoosiers,1B,NA,NA,NA,,
Hoosiers,2B,Jake Cronenworth,NA,NA,,
Hoosiers,3B,Manny Machado,NA,NA,,
Hoosiers,SS,Elly De La Cruz,NA,NA,,
Hoosiers,2B/SS,Matt McLain,NA,NA,,
Hoosiers,1B/3B,Rafael Devers,NA,NA,,
Hoosiers,OF,Jordan Beck,NA,NA,,
Hoosiers,OF,Corbin Carroll,NA,NA,,
Hoosiers,OF,Drew Gilbert,NA,NA,,
