Player,Salary,Billiken Team
Matthew Liberatore,5,NATIONAL PASTIME
David Peterson,5,#N/A
Brady House,5,WESTSIDE MARAUDERS
Matt Shaw,5,#N/A
Andrew Painter,4,FREE AT LAST
Jared Jones,4,#N/A
Lourdes Gurriel Jr.,4,#N/A
Phil Maton,4,#N/A
Max Meyer,4,#N/A
Paul Sewald,4,#N/A
Gavin Sheets,4,FREE AT LAST
Jameson Taillon,4,#N/A
Jeremiah Estrada,4,BLUE SOCKS
Luke Weaver,4,#N/A
Tyler Mahle,4,#N/A
Nasim Nunez,4,#N/A
JJ Bleday,4,#N/A
Dustin May,4,#N/A
Sean Murphy,4,#N/A
Patrick Bailey,4,FREE AT LAST
Joey Bart,4,#N/A
Bryce Eldridge,4,BLUE SOCKS
Corbin Burnes,4,#N/A
Jett Williams,3,#N/A
Javier Sanoja,3,#N/A
Ben Brown,3,FREE AT LAST
Jonah Tong,3,#N/A
Mauricio Dubon,3,#N/A
Dalton Rushing,3,#N/A
Nick Gonzales,3,#N/A
Chad Patrick,3,#N/A
Victor Vodnik,3,#N/A
Tony Santillan,3,#N/A
Brad Keller,3,#N/A
Ryan Waldschmidt,3,#N/A
Alek Thomas,3,#N/A
Zack Littell,2,MELONHEADS
Thomas Saggese,2,#N/A
Luis Campusano,2,#N/A
Landen Roupp,2,#N/A
Ty France,2,#N/A
Orion Kerkering,2,#N/A
Joe Mack,2,#N/A
Michael Soroka,2,#N/A
Brandon Sproat,2,#N/A
Jonah Heim,2,#N/A
Tanner Scott,2,MELONHEADS
Zac Veen,2,#N/A
Robert Gasser,1,#N/A
Griffin Canning,1,#N/A
Ryan Clifford,1,#N/A
Braxton Fulford,1,#N/A
Hunter Harvey,1,#N/A
Cole Henry,1,#N/A
Gregory Soto,1,#N/A
Justin Wrobleski,1,#N/A
Carson Whisenhunt,1,#N/A
Hurston Waldrep,1,FREE BIRDS
Randy Vasquez,1,#N/A
Miguel Rojas,1,#N/A
Jose Quintana,1,#N/A
Ben Casparius,1,#N/A
Matt Svanson,1,#N/A
Jake Mangum,1,#N/A
Jimmy Crooks,1,#N/A
Liam Hicks,1,#N/A
Michael Conforto,1,#N/A
Jacob Young,1,#N/A
Walker Buehler,1,#N/A
Mason Montogomery,1,#N/A
A.J. Punk,1,#N/A
Esteury Ruiz,1,#N/A
Jose Urquidy,1,#N/A
Ken Waldichuk,1,#N/A
Connor Phillips,1,#N/A
Joel Peguero,1,#N/A
Juan Mejia,1,#N/A
Troy Johnston,1,#N/A
Calvin Faucher,1,#N/A
Nathan Church,1,#N/A
Robby Snelling,1,#N/A
River Ryan,1,#N/A
Aaron Ashby,1,#N/A
Carlos Santana,1,MELONHEADS
Henry Davis,1,#N/A
Tyler Freeman,1,#N/A
Thomas White,1,#N/A
Richard Fitts,1,#N/A
Kyle Freeland,1,#N/A
Josiah Gray,1,#N/A
Janson Junk,1,#N/A
