Name,billikenTeam,Team,PA,AB,H,HR,R,RBI,SB,AVG,IP,WH,ER,W,SV,SO,ERA,WHIP,points_impact,points_pred_impact
Maximo Acosta,NA,MIA,107,98,23,2,10,9,4,0.235,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Stuart Fairchild,NA,ATL,113,100,22,3,13,12,4,0.22,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Ji Hwan Bae,NA,PIT,36,32,8,0,5,3,2,0.259,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Adam Frazier,Melonheads,PIT,166,150,36,2,17,15,3,0.242,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Christian Koss,NA,SFG,107,98,23,2,12,10,2,0.236,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Juan Yepez,NA,WSN,78,70,17,3,9,10,1,0.248,NA,NA,NA,NA,NA,NA,NA,NA,0,0
James Outman,NA,LAD,30,26,6,1,3,3,1,0.219,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Braxton Fulford,NA,COL,51,45,10,1,6,6,1,0.231,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Eli White,NA,ATL,54,48,11,1,7,6,2,0.232,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jakob Marsee,NA,MIA,78,66,14,1,8,6,4,0.206,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Austin Wynns,NA,CIN,27,24,6,1,3,3,0,0.246,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jordan Beck,Hoosiers,COL,321,289,69,8,36,35,10,0.24,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Cal Stevenson,NA,PHI,47,40,9,1,6,5,2,0.224,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Vidal Brujan,NA,CHC,65,58,13,1,8,6,3,0.231,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Ronny Mauricio,NA,NYM,24,22,5,1,3,3,1,0.248,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Alexander Canario,Free At Last,PIT,130,118,25,5,15,16,2,0.217,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Garrett Hampson,NA,ARI,66,59,14,1,7,5,2,0.235,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Drew Millas,NA,WSN,16,15,4,0,2,2,0,0.249,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jose Azocar,NA,NYM,47,44,11,1,5,5,3,0.247,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Tsung-Che Cheng,NA,PIT,59,53,12,1,6,5,1,0.223,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Tyler Wade,NA,SDP,65,58,13,1,7,5,3,0.228,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Trey Lipscomb,NA,WSN,48,44,11,1,5,4,1,0.247,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jose Herrera,NA,ARI,87,77,17,1,9,8,0,0.221,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Michael Siani,NA,STL,83,74,16,1,9,7,4,0.217,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Esteury Ruiz,NA,LAD,12,11,3,0,2,1,1,0.254,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Riley Adams,NA,WSN,120,107,24,4,12,14,1,0.221,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jake Bauers,Louisville Sluggers,MIL,107,93,19,4,12,13,3,0.207,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Andres Chaparro,NA,WSN,30,27,7,1,3,4,0,0.248,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Blaze Alexander,NA,ARI,95,85,20,2,10,9,1,0.236,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Aaron Schunk,NA,COL,54,51,13,1,6,6,1,0.249,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Kevin Alcantara,NA,CHC,53,48,11,1,5,5,1,0.234,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Wade Meckler,NA,SFG,12,11,3,0,1,1,0,0.261,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Adael Amador,NA,COL,60,53,13,1,7,6,2,0.24,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jacob Hurtubise,NA,CIN,30,25,6,0,4,3,1,0.242,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Reese McGuire,NA,CHC,11,10,2,0,1,1,0,0.237,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Mason McCoy,NA,SDP,30,27,6,0,3,3,1,0.206,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jeferson Quero,NA,MIL,11,10,2,0,1,1,0,0.229,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Eguy Rosario,NA,SDP,12,11,2,0,1,1,0,0.231,NA,NA,NA,NA,NA,NA,NA,NA,0,0
David Villar,NA,SFG,36,32,7,1,4,4,0,0.223,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Nacho Alvarez Jr.,NA,ATL,12,10,3,0,1,1,0,0.249,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Ronny Simon,NA,MIA,48,43,10,1,5,5,1,0.237,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Garrett Stubbs,NA,PHI,16,14,3,0,2,1,0,0.221,NA,NA,NA,NA,NA,NA,NA,NA,0,0
David Bote,NA,LAD,12,11,3,0,1,1,0,0.236,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Billy Cook,NA,PIT,77,70,16,2,8,8,2,0.231,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Owen Caissie,NA,CHC,24,21,5,1,3,3,0,0.229,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Rob Brantly,NA,MIA,11,10,2,0,1,1,0,0.241,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Hayden Senger,NA,NYM,11,10,2,0,1,1,0,0.197,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Liover Peguero,NA,PIT,12,11,3,0,1,1,0,0.237,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Matt Koperniak,NA,STL,30,27,7,1,3,3,0,0.244,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Marco Luciano,NA,SFG,12,10,2,0,1,1,0,0.22,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jason Delay,NA,ATL,5,5,1,0,1,0,0,0.226,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Hunter Feduccia,NA,LAD,5,5,1,0,1,1,0,0.222,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Jared Serna,NA,MIA,18,16,4,0,2,2,0,0.227,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Sam Hilliard,NA,COL,6,5,1,0,1,1,0,0.243,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Abrahan Gutierrez,NA,PIT,5,5,1,0,1,0,0,0.229,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Victor Mesa Jr.,NA,MIA,18,16,4,0,2,2,0,0.227,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Osleivis Basabe,NA,SFG,6,5,1,0,1,1,0,0.242,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Kody Clemens,NA,PHI,12,11,2,0,1,2,0,0.228,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Michael Helman,NA,STL,12,11,2,0,1,1,0,0.224,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Brady House,NA,WSN,18,17,4,0,2,2,0,0.223,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Bryce Johnson,NA,SDP,6,5,1,0,1,1,0,0.226,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Bryce Eldridge,Blue Socks,SFG,59,53,13,2,6,6,0,0.235,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Yuli Gurriel,NA,SDP,130,118,28,3,13,13,2,0.242,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Gabriel Rincones Jr.,NA,PHI,6,5,1,0,1,1,0,0.224,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Tyler Callihan,NA,CIN,6,5,1,0,1,1,0,0.225,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Luke Williams,NA,ATL,6,5,1,0,1,1,0,0.222,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Rece Hinds,NA,CIN,6,5,1,0,1,1,0,0.218,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Deyvison De Los Santos,NA,MIA,292,272,67,11,32,36,2,0.246,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Heriberto Hernandez,NA,MIA,6,5,1,0,1,1,0,0.206,NA,NA,NA,NA,NA,NA,NA,NA,0,0
Garrett Cooper,NA,ATL,6,5,1,0,1,1,0,0.234,NA,NA,NA,NA,NA,NA,NA,NA,0,0
