Name,billikenTeam,Team,PA,AB,H,HR,R,RBI,SB,AVG,IP,WH,ER,W,SV,SO,ERA,WHIP,points_impact,points_pred_impact
Porter Hodge,Free Birds,CHC,NA,NA,NA,NA,NA,NA,NA,NA,53,69.96000000000001,22,3,9,58,3.83,1.32,0,0
Jordan Wicks,Free At Last,CHC,NA,NA,NA,NA,NA,NA,NA,NA,55,72.05,25,3,0,48,4.07,1.31,0,0
Chad Patrick,Free Birds,MIL,NA,NA,NA,NA,NA,NA,NA,NA,50,65,24,3,0,44,4.39,1.3,0,0
Jalen Beeks,NA,ARI,NA,NA,NA,NA,NA,NA,NA,NA,51,68.85000000000001,21,3,1,48,3.65,1.35,0,0
Dylan Lee,Blue Socks,ATL,NA,NA,NA,NA,NA,NA,NA,NA,49,58.309999999999995,19,3,0,56,3.5,1.19,0,0
Yuki Matsui,Melonheads,SDP,NA,NA,NA,NA,NA,NA,NA,NA,49,61.25,20,3,0,59,3.59,1.25,0,0
Nick Mears,NA,MIL,NA,NA,NA,NA,NA,NA,NA,NA,47,60.63,19,2,0,57,3.61,1.29,0,0
Erik Miller,NA,SFG,NA,NA,NA,NA,NA,NA,NA,NA,52,70.72,21,3,1,63,3.58,1.36,0,0
Stephen Kolek,Melonheads,SDP,NA,NA,NA,NA,NA,NA,NA,NA,63,86.31,29,3,0,49,4.09,1.37,0,0
Taylor Rogers,Free At Last,CIN,NA,NA,NA,NA,NA,NA,NA,NA,51,69.36,25,3,2,58,4.38,1.36,0,0
Taylor Rogers,Free At Last,CIN,NA,NA,NA,NA,NA,NA,NA,NA,51,69.36,25,3,2,58,4.38,1.36,0,0
Ryne Stanek,NA,NYM,NA,NA,NA,NA,NA,NA,NA,NA,53,69.43,23,3,2,61,3.81,1.31,0,0
Jordan Romano,Westside Marauders,PHI,NA,NA,NA,NA,NA,NA,NA,NA,51,65.28,23,3,4,54,4.13,1.28,0,0
Jesus Tinoco,NA,MIA,NA,NA,NA,NA,NA,NA,NA,NA,52,70.2,23,2,5,50,4.02,1.35,0,0
Alexis Diaz,Westside Marauders,CIN,NA,NA,NA,NA,NA,NA,NA,NA,52,70.72,25,3,9,53,4.43,1.36,0,0
JoJo Romero,NA,STL,NA,NA,NA,NA,NA,NA,NA,NA,53,68.37,22,4,1,52,3.64,1.29,0,0
Matt Waldron,NA,SDP,NA,NA,NA,NA,NA,NA,NA,NA,33,42.24,16,2,0,28,4.33,1.28,0,0
Braxton Ashcraft,NA,PIT,NA,NA,NA,NA,NA,NA,NA,NA,36,47.52,16,2,0,29,4.13,1.32,0,0
Tyler Kinley,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,55,78.1,28,2,8,60,4.58,1.42,0,0
Logan Henderson,Free Birds,MIL,NA,NA,NA,NA,NA,NA,NA,NA,29,35.38,13,2,0,31,4.14,1.22,0,0
Kyle Hart,Free Birds,SDP,NA,NA,NA,NA,NA,NA,NA,NA,72,95.76,38,4,0,62,4.74,1.33,0,0
Quinn Mathews,Hoosiers,STL,NA,NA,NA,NA,NA,NA,NA,NA,34,47.26,15,2,0,30,4.09,1.39,0,0
Tony Santillan,NA,CIN,NA,NA,NA,NA,NA,NA,NA,NA,52,71.24000000000001,26,3,6,57,4.44,1.37,0,0
Adam Mazur,NA,MIA,NA,NA,NA,NA,NA,NA,NA,NA,23,31.28,12,1,0,17,4.63,1.36,0,0
Hurston Waldrep,NA,ATL,NA,NA,NA,NA,NA,NA,NA,NA,31,46.19,16,2,0,26,4.61,1.49,0,0
Ryan Thompson,NA,ARI,NA,NA,NA,NA,NA,NA,NA,NA,49,64.19,20,3,0,41,3.71,1.31,0,0
Graham Ashcraft,NA,CIN,NA,NA,NA,NA,NA,NA,NA,NA,54,72.36,27,3,2,45,4.41,1.34,0,0
Shelby Miller,NA,ARI,NA,NA,NA,NA,NA,NA,NA,NA,52,66.04,23,4,3,51,3.91,1.27,0,0
Drey Jameson,NA,ARI,NA,NA,NA,NA,NA,NA,NA,NA,61,79.91,26,4,0,54,3.9,1.31,0,0
Jake Bird,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,54,78.3,27,2,2,49,4.49,1.45,0,0
Cade Horton,Big Red Machine,CHC,NA,NA,NA,NA,NA,NA,NA,NA,23,31.51,11,1,0,21,4.42,1.37,0,0
