Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"David Bote","LAD",3,12,11,3,2,1,0,0,1,1,1,0,3,0,0,0,,0,0,0.235733,0.0749977,0.252569,0.29694,0.302294,0.387998,0.306761,0.690292,0.152265,3.69924,0.2934,-0.0105656,-0.0150916,1.31399,-0.0455014,94.9696,-0.0256571,-0.0788895,-0.0969605352729559,-0.036605507135391235,0.0259146,750.75,,,,,,,11.7,3.9,11.7,3.9,,,,,,,,,,,,,,,,,,,"David Bote","14593",623520
"Chadwick Tromp","BAL",1,5,5,1,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0.22753,0.0743674,0.245059,0.303467,0.287154,0.357823,0.287721,0.644977,0.130293,2.38968,0.281738,-0.00178837,-0.00934906,0.527211,-0.103345,89.9066,-0.0111374,-0.00580374,-0.07196370139718056,0.10144935268908739,0.0253165,740,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,"Chadwick Tromp","16953",644433
"César Salazar","HOU",1,5,5,1,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0.209913,0.0832049,0.221387,0.375834,0.291788,0.333041,0.282741,0.62483,0.123128,4.32323,0.253284,-0.00123214,-0.0063062,0.50206,-0.12396,85.2323,-0.00753834,-0.0197143,-0.09589272644370794,0.08676719851791859,0.0239913,999,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,"Cesar Salazar","21587",663967
"Billy Cook","PIT",18,77,70,16,10,3,0,2,8,8,5,0,22,1,1,0,,2,0,0.231161,0.0712004,0.280296,0.254019,0.292887,0.384219,0.299745,0.677107,0.153058,5.53409,0.299064,-0.0123558,0.057111,8.11626,-0.720454,86.1586,0.0447552,-0.0282418,-1.2305038273334503,-1.0219146721065044,0.0238583,720.0700073242188,,,,,,,68.9,3.827777777,68.9,3.827777777,,,,,,,,,,,,,,,,,,,"Billy Cook","29573",695257
"Jonathan Ornelas","TEX",3,12,11,2,2,0,0,0,1,1,1,0,3,0,0,0,,0,0,0.229165,0.0701244,0.267604,0.262046,0.290134,0.316549,0.27352,0.606683,0.0873842,4.72433,0.308537,-0.00110457,-0.0146997,1.01176,-0.357656,77.06,-0.0158042,0.0351645,-0.31603723019361496,0.1203496903181076,0.0220484,999,,,,,,,3.2,1.066666666,3.2,1.066666666,,,,,,,,,,,,,,,,,,,"Jonathan Ornelas","24597",680716
"Owen Caissie","CHC",5,24,21,5,3,1,0,1,3,3,2,0,8,0,0,0,,0,0,0.229177,0.0953984,0.325269,0.293291,0.308257,0.383158,0.307294,0.691416,0.153981,4.53392,0.323848,-0.00152381,-0.0275243,2.61865,-0.0804914,96.1501,-0.0290481,0,-0.1373920775949955,-0.4197530746459961,0.0209548,741.4000244140625,,,,,,,25.3,5.06,25.3,5.06,,,,,,,,,,,,,,,,,,,"Owen Caissie","sa3014465",683357
"Tyler Tolbert","KCR",4,18,16,4,3,1,0,0,2,2,1,0,5,0,0,0,,1,0,0.221379,0.0639414,0.260132,0.245803,0.280063,0.313853,0.267768,0.593916,0.0924745,7.49721,0.298138,-0.00310404,0.0983091,1.4367,-0.617424,68.3457,0.0952051,0.0511874,-0.5262198895215988,0.11507626622915268,0.0207878,999,,,,,,,14.2,3.55,14.2,3.55,,,,,,,,,,,,,,,,,,,"Tyler Tolbert","25779",686475
"Hao-Yu  Lee","DET",1,6,5,1,1,0,0,0,1,1,0,0,1,0,0,0,,0,0,0.243282,0.0724988,0.204902,0.353822,0.304921,0.364186,0.298691,0.669107,0.120904,5.29932,0.293926,-0.000593074,-0.00253828,0.61942,-0.0603278,96.3022,-0.00313135,0,-0.02715412899851799,0.02114197611808777,0.0204623,999,,,,,,,0.6,0.6,0.6,0.6,,,,,,,,,,,,,,,,,,,"Hao-Yu  Lee","sa3017863",701678
"Matt Duffy",,11,48,43,10,8,2,0,1,4,4,3,0,11,1,0,0,,0,0,0.24036,0.0690007,0.220217,0.31333,0.299597,0.326056,0.282492,0.625653,0.0856953,3.45156,0.301865,-0.0483063,-0.0685686,4.3837,-1.09397,80.1705,-0.116875,-0.355252,-1.202168457210064,-0.18488210439682007,0.0204102,999,,,,,,,40.2,3.654545454,40.2,3.654545454,,,,,,,,,,,,,,,,,,,"Matt Duffy","13836",622110
"Rob Brantly","MIA",3,11,10,2,2,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.240778,0.0581235,0.201557,0.288372,0.30527,0.345483,0.293278,0.650752,0.104704,3.67796,0.291061,-0.00922693,-0.0186381,1.09449,-0.157545,81.8751,-0.0278651,-0.109367,-0.2644693609327078,0.10359561443328857,0.0202836,999,,,,,,,4.2,1.4,4.2,1.4,,,,,,,,,,,,,,,,,,,"Rob Brantly","10655",542963
