Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Emmet Sheehan","LAD",6,5,,4.30982,43,15,0,1,105,447,90,54,50,16,45,,6,118,10.0949,3.90785,2.58324,1.3324,0.262685,0.101688,0.16099688410758972,0.228304,1.29789,0.284736,0.718686,,,4.39705,1.08882,1.03013,270.5199890136719,,,,"29839"
"Matt Manning","DET",6,8,,4.68393,23,23,0,0,116,503,119,65,61,16,40,,4,90,6.98417,3.12042,2.23821,1.27068,0.179563,0.0802259,0.09933683276176453,0.259942,1.37014,0.29214,0.690287,,,4.69219,1.08317,0.939956,427.45001220703125,,,,"20369"
"Bryce Elder","ATL",8,6,,4.41055,38,19,0,1,127,553,131,67,62,16,46,,6,103,7.30029,3.28403,2.22297,1.11471,0.186246,0.0837825,0.10246311128139496,0.26118,1.39432,0.30121,0.707531,,,4.48423,1.07894,1.37511,424.44000244140625,,,,"27779"
"Erick Fedde","CHW",8,11,,5.00584,26,26,0,0,142,622,151,85,79,25,51,,4,120,7.60778,3.20227,2.37575,1.60219,0.193396,0.0814045,0.1119919940829277,0.26618,1.41685,0.298031,0.700747,,,5.03276,1.07171,0.754795,351.8999938964844,,,,"17425"
"Ryan Pepiot","TBR",7,7,,4.21641,31,23,0,1,131,561,117,66,61,19,52,,8,135,9.27,3.59712,2.57706,1.30416,0.240942,0.0934949,0.14744728058576584,0.234385,1.29369,0.283819,0.725439,,,4.4606,1.06574,1.3776,188.24000549316406,,,,"26221"
"Hunter Harvey","WSN",4,3,,3.73709,64,0,13,8,64,264,56,29,27,8,19,,2,70,9.88238,2.69879,3.66177,1.10762,0.265856,0.0726031,0.19325293600559235,0.23139,1.17758,0.293395,0.724316,,,3.6698,1.06181,0.978141,265.3699951171875,,,,"15507"
"Anthony DeSclafani","MIN",7,8,,4.54417,36,19,0,1,124,530,130,67,63,18,35,,4,100,7.27144,2.51724,2.88866,1.33924,0.189079,0.0654555,0.12362302094697952,0.26365,1.32464,0.298054,0.699209,,,4.50252,1.05608,0.957496,561.2100219726562,,,,"13050"
"Ryan Pressly","HOU",5,3,,3.36952,66,0,3,13,66,271,57,27,25,8,19,,1,75,10.2621,2.52962,4.05676,1.05759,0.277568,0.0684211,0.20914699137210846,0.228547,1.15157,0.295163,0.750574,,,3.39951,1.0478,1.22512,304.6600036621094,,,,"7005"
"Matt Waldron","SDP",6,7,,4.69697,19,19,0,0,109,472,113,62,57,17,34,,5,86,7.03371,2.81573,2.49801,1.41404,0.181036,0.0724723,0.10856405645608902,0.259885,1.34153,0.288639,0.694789,,,4.81075,1.04067,0.569229,712.22998046875,,,,"25550"
"Patrick Corbin","WSN",8,14,,5.17481,29,29,0,0,164,728,187,102,94,28,55,,5,121,6.66279,3.0391,2.19236,1.53238,0.166875,0.0761169,0.09075858443975449,0.280745,1.4795,0.307792,0.692575,,,5.09541,1.04042,0.704795,664.739990234375,,,,"9323"
"Jordan Romano","TOR",6,3,,3.50946,66,0,32,1,66,274,55,28,26,8,24,,3,78,10.6737,3.25527,3.2789,1.15129,0.285463,0.0870607,0.19840238243341446,0.221368,1.19113,0.288337,0.75888,,,3.76918,1.03394,1.09262,70.4000015258789,,,,"16122"
"Alek Manoah","TOR",7,7,,4.57412,21,21,0,0,114,492,107,62,58,16,45,,10,103,8.13144,3.57573,2.27406,1.27221,0.208737,0.0917903,0.11694681644439697,0.24391,1.33506,0.284446,0.693315,,,4.73675,1.02283,0.982403,363.739990234375,,,,"26410"
"Lance McCullers Jr.","HOU",5,4,,3.83117,30,11,0,1,83,353,74,38,35,9,34,,4,84,9.13106,3.70224,2.46636,0.9659,0.238113,0.0965442,0.14156893640756607,0.234965,1.30324,0.293412,0.73168,,,4.01628,1.01627,1.22374,695.0599975585938,,,,"14120"
"Jared Jones","PIT",6,7,,4.60378,25,19,0,1,107,470,105,59,55,14,43,,7,93,7.82469,3.61579,2.16403,1.19393,0.198354,0.0916595,0.10669482499361038,0.250924,1.38432,0.291691,0.695192,,,4.64281,1.01515,1.05949,999,,,,"sa3014459"
"Quinn Priester","PIT",5,7,,4.54721,34,15,0,1,99,435,100,54,50,11,40,,6,81,7.3402,3.63812,2.01758,1.03254,0.186274,0.0923256,0.0939488559961319,0.256981,1.41101,0.298603,0.690088,,,4.49731,1.01448,0.877992,722.8400268554688,,,,"25977"
"Yuki Matsui","SDP",3,3,,3.33618,64,0,7,10,64,268,51,26,24,7,27,,2,80,11.3033,3.77217,2.99651,1.012,0.299915,0.100088,0.19982650130987167,0.213434,1.21593,0.289385,0.768577,,,3.56814,1.01005,1.0941,271.67999267578125,,,,"sa3023348"
"Jake Irvin","WSN",5,7,,4.93775,23,23,0,0,117,514,119,69,64,18,47,,8,97,7.41224,3.60676,2.05509,1.38476,0.187935,0.0914483,0.09648658335208893,0.259444,1.41652,0.293393,0.687444,,,5.00942,1.00954,0.864699,687.8400268554688,,,,"21504"
"Reynaldo López","ATL",7,5,,3.90488,58,10,0,4,97,410,87,45,42,12,36,,3,106,9.88418,3.38995,2.91573,1.15475,0.258825,0.0887685,0.17005623131990433,0.234189,1.27505,0.295095,0.735077,,,3.94765,1.00393,1.11497,418.95001220703125,,,,"16400"
"Mike Clevinger",,5,7,,4.691,18,18,0,0,95,411,96,53,50,15,31,,5,83,7.84148,2.93434,2.67231,1.45187,0.202332,0.0757142,0.12661797553300858,0.255424,1.32826,0.290853,0.698128,,,4.75681,1.00007,0.850947,452.1099853515625,,,,"12808"
"Adrian Houser","NYM",7,8,,4.55605,24,24,0,0,128,559,133,70,65,16,49,,5,92,6.49011,3.43264,1.89071,1.13218,0.165071,0.0873063,0.07776439189910889,0.263653,1.42285,0.295071,0.703556,,,4.70364,0.998872,0.914258,541.8099975585938,,,,"12718"
"Michael Lorenzen",,7,8,,4.71762,21,21,0,0,119,508,120,67,62,17,42,,4,96,7.26562,3.19383,2.27489,1.31962,0.188168,0.0827151,0.10545264184474945,0.259812,1.36927,0.294117,0.691843,,,4.70436,0.997091,1.00756,553.6500244140625,,,,"14843"
