Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Everson Pereira","NYY",3,14,13,3,2,1,0,0,2,2,1,0,5,0,0,0,,0,0,0.226529,0.0704397,0.321821,0.218878,0.288453,0.390786,0.294818,0.679239,0.164257,5.34306,0.308089,-0.00051514,-0.00700129,1.43193,-0.27389,87.454,-0.00751643,0.0329808,-0.21797526255249977,-0.11701923608779907,0.014027,742.3499755859375,,,,"23695"
"Jake Lamb","PIT",2,7,6,1,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.225886,0.109478,0.268729,0.407394,0.321267,0.36535,0.305508,0.686617,0.139463,2.47569,0.293417,-0.00355727,-0.015593,0.77811,-0.0747994,88.5467,-0.0191502,-0.00859278,-0.1184725072234869,0.01640721783041954,0.0135962,999,,,,"13329"
"Brady House","WSN",8,35,32,8,5,1,0,1,4,4,2,0,10,1,0,0,,0,0,0.238156,0.0469605,0.277238,0.169387,0.284482,0.371513,0.285373,0.655995,0.133357,4.37427,0.311228,-0.00326413,-0.0344528,3.30527,-0.959273,76.0572,-0.037717,-0.106071,-1.075871679931879,0.01892857253551483,0.0134736,999,,,,"sa3017694"
"José Fermín","STL",2,7,6,2,1,0,0,0,1,1,1,0,1,0,0,0,,0,0,0.24521,0.0882155,0.131127,0.672749,0.326049,0.359102,0.304871,0.685151,0.113892,4.24151,0.267463,-0.00153,-0.0158091,0.774408,-0.0785016,91.851,-0.0173391,-0.0406835,-0.08800648897886276,-0.015683544799685478,0.0134342,999,,,,"21746"
"Brian Serven","TOR",3,13,12,2,1,0,0,0,1,1,1,0,4,0,0,0,,0,0,0.19009,0.0574421,0.296548,0.193703,0.246615,0.314579,0.246945,0.561194,0.124489,3.01806,0.247316,-0.00392278,-0.0270393,0.800276,-0.75933,53.606,-0.0309621,0.0607635,-0.7425108421593904,0.310763455927372,0.0131047,999,,,,"19422"
"Juan Yepez","WSN",5,21,19,5,3,1,0,1,2,3,1,0,5,0,0,0,,0,0,0.248388,0.0683699,0.227293,0.300801,0.304604,0.436415,0.318001,0.741018,0.188027,2.90476,0.285929,-0.01454,-0.039586,2.55221,-0.00651785,97.9302,-0.054126,-0.101595,-0.10797315463423729,-0.47659503668546677,0.0130299,715.6500244140625,,,,"18400"
"Blake Sabol","SFG",2,6,6,1,1,0,0,0,1,1,1,0,2,0,0,0,,0,0,0.228964,0.0787159,0.317929,0.247589,0.296438,0.37306,0.292849,0.669498,0.144096,4.08607,0.317638,0.00108828,-0.0106877,0.644127,-0.135675,85.2054,-0.00959941,-0.0954887,-0.12690078373998404,0.02951134741306305,0.0125998,534.6500244140625,,,,"25805"
"Heliot Ramos",,3,14,13,3,2,1,0,0,2,2,1,0,4,0,0,0,,0,0,0.235186,0.0720714,0.278636,0.258658,0.297507,0.380801,0.295994,0.678308,0.145615,4.94747,0.307884,-0.000514336,-0.0267056,1.4456,-0.260217,87.314,-0.02722,0.0406545,-0.24724414944648743,-0.1093454621732235,0.0119895,750.7100219726562,,,,"22515"
"Alika Williams","PIT",3,14,13,3,2,1,0,0,2,1,1,0,3,0,0,0,,0,0,0.237644,0.0720059,0.21281,0.338358,0.299809,0.343686,0.284601,0.643495,0.106043,3.64693,0.29169,-0.00205891,-0.0312183,1.31313,-0.392684,74.5311,-0.0332772,0.0175421,-0.4750071205198765,0.11754205822944641,0.0119022,999,,,,"27604"
"Tyler Wade","SDP",10,42,37,8,6,2,0,0,5,3,4,0,11,0,0,0,,3,1,0.225087,0.08682,0.252766,0.34348,0.299407,0.309924,0.273409,0.609331,0.0848366,6.27431,0.300474,0.0213315,0.104859,3.549,-1.56846,73.6404,0.126191,-0.218868,-1.245341718196869,-0.06886765360832214,0.0115935,999,,,,"15730"
