Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jhonkensy Noel","CLE",76,329,299,67,38,13,1,15,38,46,21,0,89,6,2,0,,1,0,0.222693,0.0642315,0.270679,0.237298,0.286359,0.420371,0.306224,0.70673,0.197678,3.13756,0.263841,-0.164051,-0.530581,37.4384,-1.04734,100.438,-0.694632,-0.518365,-0.5297190994024277,-6.043365061283112,0.453834,386.9599914550781,,,,,,,343.5,4.519736842,343.5,4.519736842,,,,,,,,,,,,,,,,,,,"Jhonkensy Noel","24257",678877
"Chandler Simpson","TBR",23,98,89,25,21,4,0,0,13,8,7,0,11,0,0,1,,10,2,0.284692,0.0676891,0.114948,0.588869,0.335243,0.347861,0.303028,0.683105,0.0631693,6.78845,0.319799,-0.00407942,0.824475,10.8998,-0.564026,100.997,0.820396,-0.169105,0.9322046786546707,0.18089473247528076,0.452354,999,,,,,,,97,4.217391304,97,4.217391304,,,,,,,,,,,,,,,,,,,"Chandler Simpson","sa3020219",802415
"Jon Berti","CHC",36,154,138,34,25,5,1,2,18,13,13,0,34,1,1,1,,7,2,0.244315,0.0825198,0.223122,0.369842,0.312217,0.345068,0.29124,0.657286,0.100754,6.22045,0.306126,0.142705,0.409324,15.6672,-2.34742,88.2368,0.55203,0.46517,-1.6142069697380066,0.8651702404022217,0.452286,682.02001953125,,,,,,,141.1,3.919444444,141.1,3.919444444,,,,,,,,,,,,,,,,,,,"Jon Berti","12037",542932
"Jhonny Pereda","ATH",28,109,97,24,17,5,0,1,10,9,10,0,24,1,1,0,,0,0,0.242916,0.0960088,0.223976,0.428656,0.318902,0.3364,0.293418,0.655302,0.0934838,2.455,0.3081,-0.046316,-0.188734,11.2595,-1.46771,94.1574,-0.23505,-0.269539,-0.9623924195766449,1.8554607331752777,0.449072,748.9600219726562,,,,,,,94.3,3.367857142,94.3,3.367857142,,,,,,,,,,,,,,,,,,,"Jhonny Pereda","19802",640902
"Alan Roden","TOR",28,119,105,27,18,5,1,2,14,13,11,0,20,2,1,0,,2,0,0.255181,0.0933016,0.168339,0.554247,0.338119,0.386373,0.319465,0.724491,0.131192,4.86453,0.292995,-0.011292,-0.0279725,14.8098,0.889408,109.857,-0.0392645,0.338415,1.3028740659356117,-0.9365848302841187,0.447525,999,,,,,,,128,4.571428571,128,4.571428571,,,,,,,,,,,,,,,,,,,"Alan Roden","sa3020212",702176
"Johnathan Rodriguez","CLE",34,147,132,32,21,6,0,5,17,18,13,0,44,1,1,0,,1,0,0.244826,0.087533,0.300502,0.291289,0.315207,0.414144,0.317585,0.729351,0.169319,3.54,0.32494,0.00181307,-0.225446,18.072,0.876236,108.43,-0.223633,-0.0123826,1.194249913096428,-1.7873825896531343,0.444837,628.25,,,,,,,155.5,4.573529411,155.5,4.573529411,,,,,,,,,,,,,,,,,,,"Johnathan Rodriguez","22530",671286
"Tyler Black","MIL",45,196,169,39,25,7,2,5,23,22,22,0,45,4,1,0,,6,2,0.228787,0.110216,0.232033,0.475001,0.327114,0.373155,0.310782,0.700269,0.144368,6.2683,0.283585,-0.0326843,0.245049,23.0228,0.0950581,98.4718,0.212365,-0.0434187,-0.14581309258937836,-2.0934186950325966,0.442831,588.9500122070312,,,,,,,211.9,4.708888888,211.9,4.708888888,,,,,,,,,,,,,,,,,,,"Tyler Black","29949",672012
"Jerar Encarnacion","SFG",71,308,278,67,43,11,1,12,34,40,26,0,103,2,2,0,,2,1,0.24012,0.0834243,0.333563,0.250101,0.306389,0.415858,0.313952,0.722247,0.175738,3.47189,0.330649,-0.0687168,-0.394783,36.9645,0.935203,102.945,-0.4635,-0.00745455,0.6209950149059296,-6.607454450335354,0.441022,435.82000732421875,,,,,,,332.6,4.684507042,332.6,4.684507042,,,,,,,,,,,,,,,,,,,"Jerar Encarnacion","21871",666464
"Orelvis Martinez","TOR",52,224,203,44,24,9,0,9,25,29,16,1,59,3,2,0,,1,0,0.215958,0.0725756,0.264729,0.27415,0.282073,0.40506,0.296608,0.687133,0.189102,3.09005,0.253814,-0.00864624,-0.243094,23.7564,-2.44667,93.779,-0.25174,-0.886362,-1.8462115824222565,-1.486361563205719,0.427011,566.7000122070312,,,,,,,213,4.096153846,213,4.096153846,,,,,,,,,,,,,,,,,,,"Orelvis Martinez","25967",682619
"Zach McKinstry","DET",45,196,177,41,27,8,2,4,22,17,16,0,42,2,1,1,,6,1,0.233265,0.0806485,0.21241,0.379683,0.301315,0.365922,0.293706,0.667237,0.132657,6.70815,0.283521,0.101993,0.394301,20.3291,-2.59861,91.5805,0.496293,-0.9831,-1.3919034600257874,-1.1831000745296478,0.408852,593.0499877929688,,,,,,,187.4,4.164444444,187.4,4.164444444,,,,,,,,,,,,,,,,,,,"Zach McKinstry","19392",656716
