Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Josh Bell","MIA",143,616,539,140,90,28,1,21,71,74,68,2,122,4,4,1,,1,1,0.259525,0.109819,0.198082,0.554415,0.343711,0.434911,0.337286,0.778622,0.175385,2.03485,0.296108,-1.35994,-1.44901,84.7309,9.67486,110.795,-2.80895,-1.46682,5.428680658340454,-13.816817045211792,1.25636,284.4700012207031,,,,"13145"
"Luis García Jr.","WSN",107,462,428,117,79,23,3,12,55,53,26,1,68,2,4,2,,6,3,0.272703,0.0564454,0.147548,0.382555,0.314134,0.421756,0.316075,0.73589,0.149053,4.64637,0.298623,-0.23985,-0.927321,55.4096,-0.882394,96.639,-1.16717,-1.70988,-3.0908102989196777,-0.05988454818725586,1.25542,408.57000732421875,,,,"20391"
"Shea Langeliers","OAK",105,417,379,85,49,17,2,17,47,52,31,2,117,4,2,1,,2,1,0.225167,0.0753921,0.2816,0.267728,0.289197,0.41842,0.303255,0.707617,0.193254,3.90174,0.275726,-0.27421,-0.616343,45.5945,-5.23891,95.8782,-0.890553,-0.895906,-2.9510072469711304,6.629094243049622,1.24457,243.02999877929688,,,,"25816"
"José Abreu","HOU",143,616,550,144,95,29,1,19,71,82,49,1,132,11,6,1,,1,0,0.262116,0.0787698,0.214263,0.367631,0.330805,0.422591,0.326728,0.753396,0.160475,2.55368,0.309269,-0.786445,-1.06854,79.3294,4.27337,108.362,-1.85498,-1.68412,4.317292213439941,-12.834118247032166,1.23703,293.57000732421875,,,,"15676"
"Jake Fraley","CIN",113,490,425,106,67,20,1,19,60,70,55,2,107,6,3,1,,19,6,0.249425,0.111396,0.217714,0.511663,0.341215,0.431642,0.335193,0.772857,0.182216,4.78898,0.288836,-0.0221479,0.277242,66.5477,6.84406,104.731,0.255094,-0.821441,3.1271866261959076,-7.571441113948822,1.22156,329.69000244140625,,,,"19260"
"Christian Bethancourt","MIA",84,333,311,78,50,16,0,11,40,38,16,0,82,2,2,2,,3,1,0.24986,0.048092,0.24674,0.194909,0.288188,0.409775,0.300016,0.697963,0.159916,3.53364,0.303018,-0.264199,-0.44673,35.4755,-5.07426,85.8091,-0.710929,1.82849,-6.561667621135712,8.328494191169739,1.21563,468.6000061035156,,,,"10028"
"Luis Urías","SEA",68,294,255,59,39,11,1,9,34,31,30,0,68,7,2,1,,2,1,0.233551,0.101702,0.232794,0.436874,0.327437,0.387446,0.315135,0.714882,0.153894,3.08902,0.281951,-0.0511444,-0.565537,35.0312,-0.790972,103.756,-0.616682,0.439294,0.7063592076301575,1.4892940521240234,1.21468,578.9000244140625,,,,"16622"
"Ryan Noda","OAK",125,539,448,94,55,20,1,18,66,53,75,2,178,10,3,2,,5,2,0.210681,0.138618,0.329388,0.420836,0.334612,0.38228,0.317936,0.716892,0.171599,3.89994,0.297713,-0.222143,-0.718942,65.4776,-0.196389,106.054,-0.941084,0.772914,2.9689232110977173,-9.102085888385773,1.21393,423.489990234375,,,,"23312"
"Kyle Higashioka","SDP",76,304,279,62,37,13,0,12,31,37,19,0,82,1,3,2,,1,1,0.22044,0.0614206,0.27153,0.226202,0.268768,0.391445,0.283769,0.660213,0.171005,2.20575,0.265751,-0.362993,-0.667866,28.285,-8.73126,80.5856,-1.03086,0.986559,-8.337702512741089,5.361559152603149,1.21266,591.5999755859375,,,,"5517"
"Michael Massey","KCR",102,441,404,103,66,22,1,14,50,53,25,0,95,6,4,2,,6,2,0.254265,0.0568073,0.215408,0.26372,0.30482,0.415587,0.310757,0.720407,0.161322,3.95809,0.297895,0.119195,-0.483459,50.9431,-2.79016,92.2563,-0.364264,-0.118524,-4.456132918596268,1.4564756527543068,1.19448,408.4800109863281,,,,"27684"
