Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Bailey Ober","MIN",9,8,,4.11447,28,28,0,0,149,622,144,73,68,23,36,,5,145,8.75663,2.18421,4.00905,1.40522,0.232886,0.05809,0.17479581758379936,0.247391,1.20773,0.291836,0.725826,,,4.16974,2.1022,2.12934,135.6699981689453,,,,"21224"
"Griffin Canning","LAA",9,9,,4.28839,26,26,0,0,144,614,137,74,69,22,49,,6,151,9.39029,3.04393,3.08492,1.39899,0.245476,0.0795726,0.16590293496847153,0.244305,1.28459,0.295683,0.724077,,,4.31903,2.08811,2.07572,265.75,,,,"19867"
"Lance Lynn","STL",10,11,,4.39709,29,29,0,0,166,713,164,87,81,25,54,,8,153,8.31003,2.93873,2.82776,1.34835,0.214795,0.0759595,0.1388358250260353,0.251857,1.31476,0.294116,0.712896,,,4.4807,2.08052,1.97215,301.8399963378906,,,,"2520"
"Frankie Montas","CIN",8,10,,4.52628,26,26,0,0,147,631,146,80,74,24,48,,6,148,9.01779,2.9506,3.05626,1.47908,0.233776,0.076491,0.1572851538658142,0.252612,1.31775,0.299948,0.714821,,,4.48964,2.06859,2.04802,325.5799865722656,,,,"14309"
"Tanner Bibee","CLE",9,9,,4.02185,28,28,0,0,158,663,147,76,70,22,50,,6,151,8.6214,2.85906,3.01547,1.24019,0.227637,0.0754897,0.1521468535065651,0.241652,1.24897,0.287693,0.72781,,,4.19346,2.065,2.29965,104.27999877929688,,,,"30134"
"Chris Paddack","MIN",8,8,,4.29002,29,23,0,1,124,522,124,64,59,17,30,,3,115,8.38464,2.17986,3.84641,1.26842,0.220771,0.0573965,0.16337397694587708,0.253624,1.24443,0.299156,0.696038,,,4.02871,2.04823,1.35877,293.55999755859375,,,,"20099"
"Marcus Stroman","NYY",11,9,,4.02806,29,29,0,0,165,702,163,80,74,20,52,,5,136,7.40928,2.86286,2.58807,1.08927,0.193422,0.0747359,0.11868593096733093,0.252597,1.30449,0.29228,0.720482,,,4.23565,2.0321,2.30804,265.0299987792969,,,,"13431"
"Nick Pivetta","BOS",11,11,,4.50757,35,29,0,1,178,757,166,95,89,28,67,,7,189,9.57265,3.40553,2.81091,1.39339,0.249613,0.0888015,0.16081178188323975,0.242662,1.31126,0.296301,0.708252,,,4.39084,2.01471,2.39699,166.6300048828125,,,,"15454"
"Steven Matz","STL",8,8,,3.95678,35,23,0,1,132,562,129,63,58,17,40,,5,126,8.60467,2.71739,3.16652,1.15118,0.224524,0.0709056,0.1536184474825859,0.249164,1.27807,0.299339,0.728896,,,4.02741,2.00572,2.04909,367.95001220703125,,,,"13361"
"Gerrit Cole","NYY",7,5,,3.61994,18,18,0,0,109,447,95,47,44,15,29,,3,120,9.9067,2.40433,4.12036,1.2806,0.268312,0.0651185,0.20319341868162155,0.228184,1.13615,0.283284,0.749039,,,3.78569,1.99621,2.16092,18.520000457763672,,,,"13125"
"Charlie Morton","ATL",11,8,,4.13868,28,28,0,0,154,668,141,77,71,20,65,,12,169,9.83297,3.76309,2.613,1.1472,0.25264,0.0966858,0.15595463663339615,0.238153,1.32996,0.300666,0.722547,,,4.21416,1.98375,2.36302,232.02999877929688,,,,"4676"
"Braxton Garrett","MIA",7,7,,3.99847,24,24,0,0,131,558,131,63,58,16,37,,8,120,8.27509,2.53686,3.26195,1.09286,0.215436,0.0660451,0.14939043670892715,0.255052,1.28305,0.304991,0.719951,,,4.02225,1.97032,2.26115,212.05999755859375,,,,"21844"
"Aaron Civale","TBR",8,8,,4.0595,26,26,0,0,141,590,133,68,63,19,39,,7,133,8.50939,2.46535,3.4516,1.21797,0.225389,0.0652998,0.16008874773979187,0.243777,1.21786,0.289688,0.712169,,,4.09179,1.96567,1.90371,199.30999755859375,,,,"19479"
"Max Scherzer","TEX",7,6,,3.95945,19,19,0,0,111,461,100,53,49,18,29,,5,123,9.95543,2.38389,4.17613,1.47322,0.26679,0.0638846,0.20290549844503403,0.234729,1.16458,0.287158,0.739686,,,4.1104,1.96393,1.92541,308.1099853515625,,,,"3137"
"Nick Lodolo","CIN",6,6,,4.16168,35,21,0,1,121,521,108,60,56,17,42,,14,144,10.6613,3.11146,3.42645,1.29168,0.276259,0.0806256,0.19563380628824234,0.233019,1.23799,0.299372,0.714584,,,4.12794,1.96008,2.03346,253.44000244140625,,,,"26378"
"Kyle Gibson","STL",10,11,,4.40994,31,31,0,0,175,761,182,93,86,22,61,,8,138,7.12295,3.15966,2.25434,1.13216,0.181492,0.0805076,0.10098405927419662,0.262569,1.39194,0.300325,0.708501,,,4.49724,1.95716,1.95332,429.30999755859375,,,,"10123"
"Kutter Crawford","BOS",9,9,,4.58753,37,26,0,1,149,635,147,81,76,23,47,,6,143,8.62776,2.82787,3.05097,1.38076,0.224859,0.0737009,0.15115856379270554,0.252977,1.30339,0.298689,0.697172,,,4.3916,1.92946,1.80544,249.63999938964844,,,,"20531"
"Miles Mikolas","STL",10,11,,4.44847,31,31,0,0,182,775,196,97,90,28,41,,7,129,6.34193,2.01039,3.15458,1.38042,0.165986,0.0526174,0.113368209451437,0.269201,1.29578,0.29403,0.707342,,,4.62463,1.92215,2.0023,412.95001220703125,,,,"9803"
"Yusei Kikuchi","TOR",9,9,,4.17525,29,29,0,0,153,657,145,77,71,23,58,,6,157,9.21522,3.38305,2.72394,1.35911,0.239063,0.0877638,0.15129922330379486,0.244998,1.32369,0.2958,0.740756,,,4.41371,1.89967,1.94092,228.86000061035156,,,,"20633"
"Andrew Abbott","CIN",6,7,,4.38431,21,21,0,0,110,470,101,58,54,18,43,,4,120,9.83987,3.48297,2.82513,1.4509,0.256411,0.0907606,0.16565024107694626,0.239085,1.30611,0.292652,0.72439,,,4.42308,1.87675,1.71472,273.4800109863281,,,,"29911"
"Taijuan Walker","PHI",9,11,,4.71701,31,31,0,0,172,745,176,97,90,25,63,,7,134,7.00779,3.28764,2.13156,1.31141,0.179625,0.0842694,0.09535568952560425,0.261231,1.39131,0.293116,0.697122,,,4.81366,1.84114,1.64864,421.55999755859375,,,,"11836"
"Dane Dunning","TEX",9,10,,4.47258,29,29,0,0,167,730,173,90,83,23,58,,10,143,7.70727,3.13955,2.45489,1.23718,0.19597,0.0798285,0.11614187061786652,0.260862,1.38267,0.301878,0.709702,,,4.54956,1.83809,1.86968,364.2799987792969,,,,"19409"
"Nick Martinez","CIN",7,7,,4.35298,46,19,0,1,138,600,138,72,67,19,52,,5,135,8.78176,3.38972,2.59071,1.2652,0.224415,0.0866231,0.13779189437627792,0.253279,1.37354,0.303698,0.722263,,,4.36698,1.83389,1.82143,457.45001220703125,,,,"12730"
"Jhoan Duran","MIN",5,3,,2.70536,66,0,28,2,66,270,50,22,20,5,22,,4,89,12.1668,3.02457,4.02267,0.718907,0.330635,0.0821929,0.2484419271349907,0.206583,1.10022,0.301804,0.776089,,,2.7587,1.8272,2.04935,51.11000061035156,,,,"21029"
"DL Hall","MIL",6,6,,3.74749,42,18,0,1,110,474,91,50,46,14,52,,5,138,11.2155,4.206,2.66654,1.11747,0.290349,0.108886,0.18146305531263351,0.21819,1.29153,0.290821,0.750272,,,3.92043,1.81932,1.73624,321.54998779296875,,,,"22207"
"Seth Lugo","KCR",8,9,,4.39899,28,28,0,0,152,655,159,81,74,21,47,,5,129,7.62638,2.79817,2.72549,1.25357,0.19702,0.0722881,0.12473215907812119,0.263469,1.35377,0.304077,0.71177,,,4.39931,1.81679,2.05638,261.1700134277344,,,,"12447"
"Pete Fairbanks","TBR",5,3,,2.99931,66,0,30,3,66,273,48,24,22,6,26,,3,92,12.5639,3.53005,3.55912,0.7885,0.337805,0.0949127,0.24289266020059586,0.198149,1.12504,0.291329,0.764064,,,2.90476,1.81363,1.61853,89.91999816894531,,,,"17998"
"Clarke Schmidt","NYY",9,9,,4.39121,29,29,0,0,153,660,150,81,75,23,50,,9,142,8.3251,2.94798,2.824,1.32421,0.214728,0.0760369,0.138691246509552,0.249811,1.3078,0.292134,0.709775,,,4.46941,1.80559,1.44168,348.4100036621094,,,,"19899"
"Dean Kremer","BAL",10,9,,4.2072,31,31,0,0,172,735,170,86,80,23,54,,7,148,7.73775,2.84355,2.72116,1.21205,0.201299,0.0739755,0.12732324749231339,0.252061,1.30286,0.291768,0.719008,,,4.3532,1.77424,2.16181,317.9100036621094,,,,"19350"
"Kenta Maeda","DET",7,9,,4.29303,34,24,0,1,134,568,128,69,64,19,41,,5,131,8.79629,2.72693,3.22571,1.29219,0.23147,0.0717577,0.15971212834119797,0.245558,1.2569,0.293204,0.705329,,,4.18009,1.73575,1.55352,246.6999969482422,,,,"18498"
"JP Sears","OAK",8,11,,4.21297,29,29,0,0,164,696,157,82,77,24,52,,10,151,8.28638,2.85308,2.90436,1.33876,0.216865,0.0746686,0.14219613373279572,0.247066,1.27329,0.288291,0.724786,,,4.47229,1.71672,1.99511,381.79998779296875,,,,"23429"
"Cristopher Sánchez","PHI",7,7,,4.20066,34,21,0,1,130,555,129,66,61,17,42,,6,112,7.74192,2.9257,2.64617,1.15344,0.202144,0.0763911,0.12575316429138184,0.254106,1.31161,0.296606,0.709182,,,4.31993,1.68527,1.70418,222.5800018310547,,,,"20778"
