Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tanner Bibee","CLE",10,7,,3.50033,27,27,,,,151.7,625,136,63,59,19,40,0,6,148,8.78049,2.3731,3.7,1.12722,0.2368,0.064,0.1727999970316887,0.234888,1.16018,0.283981,0.756359,,,3.75316,2.67164,3.05309,999,,,,,,,693.2799774169922,4.570072454606108,669.4999847412109,4.413315742976808,,,,,,,,,,,,,,,,,,,"Tanner Bibee","30134",676440
"Zack Wheeler","PHI",10,7,,3.75,23,23,,,,144,600,134,64,60,17,42,0,6,138,8.625,2.625,3.28571,1.0625,0.23,0.07,0.1600000038743019,0.242754,1.22222,0.29471,0.735874,,,3.78454,2.63382,2.67957,999,,,,,,,640.1000000000001,4.44513888888889,631,4.381944444444445,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Kyle Bradish","BAL",9,5,,3.50397,26,26,,,,138.7,576,123,58,54,14,43,0,7,131,8.50036,2.79019,3.04651,0.908435,0.227431,0.0746528,0.1527777761220932,0.23384,1.19683,0.286089,0.737705,,,3.67117,2.61635,2.65635,999,,,,,,,646.3799774169922,4.660273912321698,623.4999847412109,4.495313615427682,,,,,,,,,,,,,,,,,,,"Kyle Bradish","24586",680694
"Reid Detmers","LAA",9,10,,4.12167,25,25,,,,146.3,616,132,72,67,19,45,1,8,157,9.65824,2.76828,3.48889,1.16883,0.25487,0.0730519,0.1818181723356247,0.234458,1.20984,0.29199,0.698138,,,3.79532,2.60926,1.94781,999,,,,,,,660.7200225830077,4.516199650038688,639.5000152587891,4.371155173746289,,,,,,,,,,,,,,,,,,,"Reid Detmers","27468",672282
"Sandy Alcantara","MIA",8,8,,3.643,22,22,,,,150.7,622,145,65,61,16,34,1,6,122,7.286,2.03052,3.58824,0.955541,0.196141,0.0546624,0.14147910103201866,0.249141,1.18779,0.290541,0.727969,,,3.72388,2.57614,3.17013,999,,,,,,,665.3799774169922,4.415262049710038,669.4999847412109,4.44260118313838,,,,,,,,,,,,,,,,,,,"Sandy Alcantara","18684",645261
"Jared Jones","PIT",8,7,,3.67883,25,25,,,,137,561,118,60,56,16,36,1,7,133,8.73723,2.36496,3.69444,1.05109,0.237077,0.0641711,0.17290553450584412,0.227799,1.12409,0.276423,0.714286,,,3.68473,2.51551,2.77258,999,,,,,,,647.2000000000003,4.7240875912408775,614,4.481751824817518,,,,,,,,,,,,,,,,,,,"Jared Jones","27863",683003
"Michael King","SDP",11,8,,3.53293,26,25,,,,150.3,635,136,63,59,18,51,1,6,156,9.34132,3.05389,3.05882,1.07784,0.245669,0.080315,0.16535432636737823,0.235294,1.24418,0.292079,0.766378,,,3.78524,2.47313,2.88308,999,,,,,,,678.2200225830078,4.512441841730726,658.5000152587891,4.381237537513727,,,,,,,,,,,,,,,,,,,"Michael King","19853",650633
"Joe Ryan","MIN",8,8,,3.97937,24,24,,,,135.7,555,124,64,60,19,31,0,7,136,9.0199,2.05601,4.3871,1.26013,0.245045,0.0558559,0.18918919563293457,0.239845,1.14223,0.290055,0.708723,,,3.82234,2.4713,1.93503,999,,,,,,,606.0799774169922,4.466322704842501,589.4999847412109,4.34414147382814,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
"Pablo López","MIN",10,9,,3.98734,27,27,,,,158,660,150,75,70,21,39,1,8,156,8.88608,2.22152,4,1.1962,0.236364,0.0590909,0.1772727258503437,0.244698,1.1962,0.295872,0.714286,,,3.81205,2.45119,2.20195,999,,,,,,,691.9000000000001,4.379113924050634,688,4.3544303797468356,,,,,,,,,,,,,,,,,,,"Pablo Lopez","17085",641154
"Brandon Pfaadt","ARI",10,7,,3.8477,26,26,,,,149.7,620,140,68,64,19,33,0,6,144,8.65732,1.98397,4.36364,1.14228,0.232258,0.0532258,0.17903225868940353,0.240964,1.15564,0.289474,0.717213,,,3.67416,2.44273,2.70326,999,,,,,,,681.0799774169923,4.549632540423306,672.4999847412109,4.49231795892236,,,,,,,,,,,,,,,,,,,"Brandon Pfaadt","27782",694297
"Shane McClanahan","TBR",9,6,,3.33065,21,21,,,,124.3,503,107,49,46,14,32,1,2,125,9.05068,2.31698,3.90625,1.01368,0.248509,0.0636183,0.18489065766334534,0.228145,1.11826,0.281818,0.753769,,,3.44001,2.38504,2.64129,999,,,,,,,617.4200225830077,4.96717624637481,587.5000152587891,4.726468228759073,,,,,,,,,,,,,,,,,,,"Shane McClanahan","21483",663556
