team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
LOUISVILLE SLUGGERS,23,165,10.528852536504392,7401,6684,1785,231,946,888,169,0.2670556552962298,1070,69,69,1143,446.7399844444444,1342.37586,3.757626037383177,1.254556878504673,1,5,2,7,10,3,9,5,9,7,25,33,58,6,18
BIG RED MACHINE,23,151,9.711953185883281,7783,6913,1735,260,967,943,136,0.2509764212353537,1181,70,44,1116,521.9734533333333,1502.9778,3.977782455546147,1.27263149872989,10,9,9,4,3,4,6,3,5,3,35,21,56,7,18
FREE BIRDS,23,188,9.430092757426236,7459,6629,1675,246,906,914,112,0.25267762860159904,1293,79,27,1250,579.9870288888889,1632.39423,4.037032683681361,1.2624858700696056,4,3,4,1,5,8,3,8,3,5,17,27,44,8,18
FREE AT LAST,22,151,8.16569735318148,7907,7005,1759,242,960,934,147,0.25110635260528197,970,56,30,855,459.22482111111117,1263.57081,4.260848855670103,1.302650319587629,2,7,7,5,4,1,4,1,1,1,25,8,33,9,18
ERIE LAKERS,23,168,8.032628679512557,7398,6546,1694,245,930,900,116,0.25878399022303694,1055,61,8,980,476.1941911111112,1344.44828,4.062320113744077,1.2743585592417062,3,4,3,2,9,2,2,2,2,2,21,10,31,10,18
MELONHEADS,23,242,10.841676572006145,7618,6784,1737,261,967,951,155,0.2560436320754717,1288,81,17,1269,543.2587055555555,1535.2527600000003,3.7960623835403724,1.1919664285714289,8,8,9,6,6,9,1,9,9,10,37,38,75,1,19
WESTSIDE MARAUDERS,23,213,11.14612432325429,7393,6623,1703,253,935,919,170,0.2571342292012683,1334,85,32,1379,566.9576955555556,1605.2618819999998,3.82505191904048,1.2033447391304346,5,6,5,8,8,10,4,10,6,9,32,39,71,2,19
LOUISVILLE SLUGGERS,23,165,10.747082517232414,7666,6863,1774,260,984,928,161,0.2584875418913012,1150,73,47,1143,484.59745999999996,1445.94286,3.792501860869565,1.2573416173913043,7,9,6,7,9,6,7,5,10,4,38,32,70,3,19
HOOSIERS,23,190,10.340938830108012,7954,7036,1769,264,1009,972,204,0.2514212620807277,1114,70,30,1075,471.96869555555554,1390.2845900000002,3.8130325493716333,1.2480113016157992,9,10,10,10,3,5,3,3,8,6,42,25,67,4,19
NATIONAL PASTIME,23,190,10.460623933901992,7664,6903,1767,254,928,935,150,0.2559756627553238,1253,78,52,1202,552.3548166666667,1547.7761699999999,3.9674328411811657,1.2352563208300078,6,4,8,5,5,8,8,6,4,7,28,33,61,5,19
BLUE SOCKS,23,194,10.30680412650786,7544,6792,1734,234,926,914,178,0.25530035335689044,1217,78,43,1228,516.8257377777777,1494.33995,3.822047362366474,1.2278882087099425,2,3,4,9,4,8,6,7,7,8,22,36,58,6,19
BIG RED MACHINE,23,151,9.679462986453064,7549,6701,1660,272,934,934,105,0.24772422026563198,1197,75,59,1123,512.8377155555555,1526.8330700000001,3.8559226733500416,1.2755497660818715,10,5,7,2,1,7,9,4,5,3,25,28,53,7,19
FREE AT LAST,22,151,8.1723436234576,7711,6766,1689,237,965,899,178,0.24963050546851906,823,46,67,791,377.8328277777778,1074.47892,4.13182922235723,1.3055636938031592,3,7,3,9,2,3,10,1,2,2,24,18,42,8,19
FREE BIRDS,23,188,9.108335283721074,7298,6499,1668,221,876,873,126,0.2566548699799969,1286,78,27,1258,577.3043555555556,1615.49559,4.040232659409021,1.2562174105754276,1,1,2,4,7,8,2,8,3,5,15,26,41,9,19
ERIE LAKERS,23,168,8.051385624692534,7349,6526,1689,242,923,899,120,0.25881091020533253,1097,59,39,963,525.4539777777778,1457.2009199999998,4.310925979945306,1.3283508842297171,4,2,3,3,10,4,5,2,1,1,22,13,35,10,19
MELONHEADS,23,242,10.765302225503849,7570,6756,1710,245,948,920,181,0.2531083481349911,1344,87,0,1339,559.1528122222222,1620.3430400000002,3.7443268675595243,1.205612380952381,6,7,6,9,4,10,4,10,10,10,32,44,76,1,20
LOUISVILLE SLUGGERS,23,165,10.775349721630484,7935,7115,1850,266,1019,964,179,0.2600140548137737,933,57,89,963,400.89928666666674,1152.70602,3.8671956913183285,1.2354834083601287,9,10,9,8,9,2,10,2,5,8,45,27,72,2,20
WESTSIDE MARAUDERS,23,213,11.104198614472342,7645,6852,1761,259,953,955,137,0.2570052539404553,1302,81,54,1287,551.9540299999999,1609.965652,3.8153504377880174,1.2365327588325654,7,8,8,3,7,8,7,8,8,7,33,38,71,3,20
HOOSIERS,23,190,10.322743792237965,8047,7127,1777,275,1018,988,195,0.249333520415322,1134,69,29,1068,480.6649311111112,1434.5835199999997,3.8148010405643746,1.2650648324514988,10,9,10,10,2,4,5,4,9,4,41,26,67,4,20
NATIONAL PASTIME,23,190,10.483251450703396,7688,6926,1795,245,943,929,162,0.2591683511406295,1200,77,52,1180,528.1831377777778,1492.67969,3.9613735333333335,1.2438997416666666,6,6,7,7,8,6,6,6,4,6,34,28,62,5,20
BLUE SOCKS,23,194,10.156745136646155,7379,6657,1707,236,902,905,160,0.25642181162685895,1270,79,29,1280,543.4633477777778,1536.29197,3.8513150629921262,1.209678716535433,5,4,4,6,6,7,5,7,6,9,25,34,59,6,20
BIG RED MACHINE,23,151,9.691992425037443,7455,6609,1656,260,935,910,116,0.2505674080798911,1089,67,86,1042,464.5615188888888,1376.04984,3.8393513957759406,1.2635903030303028,8,5,5,1,3,3,9,3,7,5,22,27,49,7,20
FREE BIRDS,23,188,9.020679070938028,7235,6418,1627,221,864,859,144,0.2535057650358367,1392,85,0,1332,626.1304777777777,1764.5118400000001,4.048257399425287,1.2676090804597702,2,1,2,4,5,9,4,9,3,3,14,28,42,8,20
ERIE LAKERS,23,168,8.082565859498049,7067,6278,1633,235,897,874,130,0.26011468620579803,914,53,74,882,414.5777477777778,1171.1356400000002,4.082275415754924,1.2813300218818382,4,3,3,2,10,1,8,1,2,2,22,14,36,9,20
FREE AT LAST,22,151,8.138330990173126,7102,6213,1543,223,891,832,151,0.24835023338161918,1283,74,0,1158,604.4258444444445,1664.5373000000004,4.239931878409976,1.2973790335151991,3,2,1,5,1,5,4,5,1,1,12,16,28,10,20
WESTSIDE MARAUDERS,23,213,11.125066887482653,7558,6776,1745,251,940,931,154,0.2575265643447462,1254,79,59,1278,529.70774,1536.892942,3.801730191387559,1.2255924577352473,7,7,7,6,8,9,8,9,10,9,35,45,80,1,21
MELONHEADS,23,242,10.756755735363098,7552,6734,1711,263,952,944,162,0.2540837540837541,1344,86,0,1326,570.7426844444444,1622.6682300000002,3.821937619047619,1.2073424330357145,9,8,8,8,5,10,2,10,9,10,38,41,79,2,21
LOUISVILLE SLUGGERS,23,165,10.78598504496809,7886,7076,1842,264,1015,953,162,0.2603165630299604,1022,64,77,1040,441.06440333333336,1285.9321,3.884128796477495,1.2582505870841487,10,10,9,8,10,5,10,2,7,4,47,28,75,3,21
HOOSIERS,23,190,10.290724391171715,7954,7036,1769,264,1009,972,204,0.2514212620807277,1254,76,8,1101,542.3981566666668,1582.9248899999998,3.892809736842106,1.2623005502392344,10,9,10,10,3,7,3,4,6,3,42,23,65,4,21
NATIONAL PASTIME,23,190,10.450963324732543,7527,6782,1757,243,926,913,161,0.25906812149808317,1216,77,52,1215,530.3968877777777,1496.7101799999998,3.925634860197368,1.2308471874999998,5,5,5,7,9,8,6,6,5,8,31,33,64,5,21
BLUE SOCKS,23,194,10.260952459443587,7456,6729,1730,226,909,895,180,0.2570961509882598,1240,77,56,1221,530.7580377777778,1530.56927,3.852276080645161,1.2343300564516129,3,3,3,9,6,8,7,8,8,7,24,38,62,6,21
BIG RED MACHINE,23,151,9.743646482039923,7461,6623,1663,260,931,926,116,0.2510946700890835,1271,75,27,1205,556.6219611111112,1595.24995,3.9414615656963026,1.2551140440597954,8,6,6,2,2,6,4,5,4,6,24,25,49,7,21
FREE BIRDS,23,188,9.174569254758708,7264,6424,1618,226,871,863,131,0.25186799501867996,1197,77,62,1216,525.8375066666666,1505.0438800000002,3.9536654636591475,1.2573465998329159,3,2,1,4,4,8,9,7,3,5,14,32,46,8,21
ERIE LAKERS,23,168,8.048045562759517,7349,6504,1674,246,931,906,122,0.257380073800738,937,55,45,880,414.31014111111114,1197.9472400000002,3.9794997545357527,1.278492251867663,6,6,4,3,7,3,5,1,2,2,26,13,39,9,21
FREE AT LAST,22,151,8.129066076583168,7326,6433,1584,238,918,867,152,0.24623037463080988,1126,63,27,1049,532.1756155555555,1468.8658299999997,4.253623925399645,1.3044989609236233,4,4,2,5,1,4,4,3,1,1,16,13,29,10,21
WESTSIDE MARAUDERS,23,213,11.138021129976268,7568,6768,1744,255,950,937,150,0.2576832151300236,1374,85,32,1354,587.5670944444444,1681.813972,3.8486927583697232,1.224027636098981,8,8,8,5,8,10,5,9,8,9,37,41,78,1,22
MELONHEADS,23,242,10.717384363447996,7307,6533,1655,254,921,916,172,0.2533292514924231,1318,84,0,1369,544.9724444444445,1553.96376,3.7213596358118366,1.179031684370258,7,4,4,7,4,9,1,10,10,10,26,40,66,2,22
LOUISVILLE SLUGGERS,23,165,10.766168861285184,7851,7063,1843,253,994,939,180,0.2609372787767238,1152,71,58,1078,516.9045955555555,1487.1529099999998,4.038317152777777,1.2909313454861109,6,9,9,8,9,5,8,4,2,2,41,21,62,3,22
HOOSIERS,23,190,10.281050974659934,8131,7197,1801,275,1031,992,197,0.2502431568709184,1205,72,13,1073,526.3565055555556,1541.7659800000001,3.9312934024896267,1.2794738423236516,10,10,10,9,3,6,2,3,5,3,42,19,61,4,22
NATIONAL PASTIME,23,190,10.453222068596727,7667,6897,1774,249,936,931,154,0.2572132811367261,1214,77,52,1211,534.4712077777777,1505.3833599999998,3.962307141680395,1.2400192421746292,5,6,6,6,6,7,7,7,4,7,29,32,61,4,22
