team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
LOUISVILLE SLUGGERS,23,219,10.774797779906319,7823,7011,1817,265,995,945,173,0.2591641705890743,903,59,88,965,370.8267688888889,1098.1481600000002,3.6959478626799562,1.2161109191583612,9,9,9,8,9,2,10,2,10,8,44,32,76,1,3
MELONHEADS,23,269,10.667593613316601,7386,6592,1664,252,931,918,171,0.2524271844660194,1392,87,0,1363,580.0657777777778,1675.67234,3.750425287356322,1.2037876005747128,7,6,5,7,4,10,2,10,9,10,29,41,70,2,3
WESTSIDE MARAUDERS,23,261,10.759296887766267,7435,6598,1689,259,954,923,152,0.2559866626250379,1334,83,32,1347,579.5499855555555,1645.242716,3.9100073988005994,1.2333153793103449,8,8,6,6,6,8,5,9,6,7,34,35,69,3,3
NATIONAL PASTIME,23,270,10.412779900439354,7436,6667,1725,236,914,891,136,0.25873706314684264,1255,78,52,1263,530.5405077777777,1520.48558,3.804672964143426,1.211542294820717,5,4,3,5,8,7,7,7,8,9,25,38,63,4,3
HOOSIERS,23,224,10.255527485732518,7977,7106,1792,267,998,993,195,0.2521812552772305,1195,72,22,1101,525.4207866666667,1544.46165,3.957144,1.2924365271966527,10,10,10,9,3,5,3,5,4,3,42,20,62,5,3
BLUE SOCKS,23,262,10.244784291376147,7691,6931,1778,232,953,924,202,0.2565286394459674,1210,77,29,1211,529.2355811111112,1514.1016,3.9364630000000003,1.2513236363636364,2,7,7,10,7,6,4,6,5,6,33,27,60,6,3
BIG RED MACHINE,23,210,9.736969821799656,7524,6689,1664,265,925,928,121,0.24876663178352518,1120,69,86,1063,477.9663488888889,1406.90777,3.8408010178571432,1.2561676517857143,9,5,8,1,1,4,9,4,7,4,24,28,52,7,3
FREE BIRDS,23,243,9.287736721184006,7421,6579,1661,238,895,895,135,0.2524699802401581,1392,84,0,1326,634.7414333333335,1746.92032,4.103931681034484,1.2549714942528736,6,3,4,4,5,9,2,8,2,5,22,26,48,8,3
ERIE LAKERS,23,206,7.988316423721004,7034,6263,1629,235,892,871,130,0.26009899409228804,1007,58,61,898,457.7848055555555,1315.46991,4.091423286991062,1.3063256305858988,4,2,1,3,10,1,8,1,3,1,20,14,34,9,3
FREE AT LAST,22,230,8.200190551352968,7557,6646,1664,233,931,886,128,0.2503761661149564,1044,61,43,970,484.81323222222227,1358.0733599999999,4.179424415708813,1.3008365517241378,3,6,2,2,2,3,6,3,1,2,15,15,30,10,3
WESTSIDE MARAUDERS,23,264,11.11295113953897,7386,6556,1677,265,948,928,165,0.2557962172056132,1374,85,32,1370,596.9775933333333,1683.1889360000002,3.9103335807860256,1.2250283377001456,9,8,8,6,6,10,6,10,5,8,37,39,76,1,4
LOUISVILLE SLUGGERS,23,207,10.723582123376218,7825,7038,1842,254,991,946,176,0.2617220801364024,873,52,118,930,368.55583333333334,1089.9205299999999,3.799544673539519,1.2484771248568154,7,9,9,8,10,2,10,2,8,6,43,28,71,2,4
HOOSIERS,23,237,10.333003533821277,8061,7163,1787,279,1018,998,207,0.24947647633673042,1162,74,16,1058,503.0911511111111,1467.49071,3.896575180722891,1.26290078313253,10,10,10,10,3,7,3,4,7,3,43,24,67,3,4
NATIONAL PASTIME,23,266,10.340144061458606,7359,6617,1707,231,901,872,141,0.2579718905848572,1277,82,52,1273,534.3303900000001,1560.84525,3.765836734534065,1.2222750587314017,2,4,3,5,7,9,7,8,9,9,21,42,63,4,4
MELONHEADS,20,270,10.5546839966355,7027,6252,1597,238,901,871,168,0.2554382597568778,1215,79,0,1204,502.61782888888894,1468.05828,3.723095028806585,1.2082784197530865,5,4,2,7,5,8,2,7,10,10,23,37,60,5,4
BLUE SOCKS,21,270,9.975456884565551,7396,6663,1725,224,909,895,179,0.25889239081494825,1090,69,29,1091,473.0228277777778,1338.80795,3.9056930733944957,1.2282641743119265,1,6,6,9,9,5,5,5,6,7,31,28,59,6,4
BIG RED MACHINE,23,201,9.570880651270366,7255,6437,1605,258,904,899,130,0.24933975454404225,1206,73,59,1152,526.8589888888889,1511.81771,3.931783499170813,1.2535801907131012,8,5,7,4,2,6,8,6,4,5,26,29,55,7,4
FREE BIRDS,23,240,9.166059099850099,7271,6437,1628,235,893,886,111,0.2529128475998136,1361,85,0,1346,604.2009266666668,1712.66029,3.9954506539309333,1.2583837545922116,4,2,5,1,4,10,2,9,3,4,16,28,44,8,4
ERIE LAKERS,23,203,8.06379008365002,7335,6502,1678,243,925,899,123,0.2580744386342664,1112,62,27,991,527.1651777777778,1463.9104199999997,4.26662464028777,1.316466205035971,6,7,7,2,8,4,4,3,1,1,30,13,43,9,4
FREE AT LAST,22,230,8.151325310810755,7452,6579,1639,233,899,878,126,0.24912600699194407,996,56,68,925,448.11549222222226,1281.1782699999999,4.049236375502009,1.286323564257028,3,3,4,3,1,3,9,1,2,2,14,17,31,10,4
MELONHEADS,23,270,10.640530239214115,7450,6628,1675,263,950,934,160,0.25271575135787566,1269,80,27,1283,538.7778455555556,1519.1716099999999,3.8211194720252166,1.1971407486209613,7,8,8,7,4,8,5,9,9,10,34,41,75,1,5
WESTSIDE MARAUDERS,23,270,10.872453427046207,7232,6485,1680,245,916,901,142,0.259059367771781,1289,83,43,1347,543.9069377777777,1560.7831260000003,3.7976434755624506,1.2108480418929404,5,5,4,5,9,10,7,10,10,9,28,46,74,2,5
LOUISVILLE SLUGGERS,23,207,10.839157738051172,8066,7229,1893,265,1029,974,175,0.26186194494397563,943,56,91,973,405.66625,1206.2675499999998,3.8716821314952283,1.2791808589607634,8,10,9,9,10,3,10,2,7,3,46,25,71,3,5
NATIONAL PASTIME,23,264,10.41777216698357,7594,6821,1752,243,923,906,147,0.2568538337487172,1290,80,52,1241,556.9054366666667,1567.3748699999999,3.8853867674418607,1.2150192790697674,4,6,5,6,6,8,8,7,5,8,27,36,63,4,5
HOOSIERS,23,238,10.392842886038517,7858,6979,1738,276,994,985,209,0.24903281272388594,1263,77,14,1118,561.3785944444445,1615.1755999999998,4.000322525732384,1.2788405384006332,10,9,10,10,2,7,3,4,3,4,41,21,62,5,5
BLUE SOCKS,23,265,10.041479157816484,7558,6850,1770,215,906,894,174,0.2583941605839416,1100,69,80,1139,468.6671155555556,1351.97889,3.834549127272728,1.2290717181818183,1,4,3,8,8,6,9,5,8,7,24,35,59,6,5
BIG RED MACHINE,23,205,9.618925260948807,7357,6504,1612,268,923,912,120,0.24784747847478475,1267,77,27,1229,545.2024100000001,1592.2962300000002,3.872787442778217,1.2567452486187847,9,6,6,2,1,7,5,6,6,6,24,30,54,7,5
FREE BIRDS,23,243,9.08581134637432,7347,6500,1655,225,883,876,133,0.25461538461538463,1295,81,27,1246,573.6701666666668,1648.3985400000001,3.986896911196912,1.2728946254826257,2,3,2,4,5,9,5,8,4,5,16,31,47,8,5
