team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
HOOSIERS,23,231,10.308449950414172,7902,6999,1755,256,1003,950,231,0.2507501071581654,1042,65,53,988,437.5038366666667,1291.02106,3.7788239251439544,1.2389837428023034,8,10,9,10,2,2,7,2,9,6,39,26,65,3,20
NATIONAL PASTIME,23,269,10.478102506011044,7503,6738,1705,249,898,916,143,0.25304244582962304,1183,75,84,1208,489.3468866666667,1426.03508,3.7228419103972947,1.2054396280642434,5,3,4,5,5,6,10,7,10,10,22,43,65,3,20
LOUISVILLE SLUGGERS,23,214,10.490284713172915,7382,6674,1768,241,947,899,161,0.2649086005394067,1071,71,58,1173,450.7001577777778,1331.25368,3.7873962838468724,1.2430006349206348,3,6,3,7,10,5,8,5,8,5,29,31,60,4,20
BIG RED MACHINE,23,203,9.755030019983034,7531,6667,1675,267,947,932,118,0.25123743812809357,1292,76,27,1203,564.3478344444444,1636.2361300000002,3.9312155650154796,1.2664366331269352,10,6,7,2,4,7,4,6,4,3,29,24,53,5,20
MELONHEADS,23,224,9.83933140142449,7377,6572,1666,236,911,898,153,0.2534996956786366,1119,68,76,1104,471.8911611111112,1369.09643,3.7953712689901704,1.2234999374441466,2,4,2,6,6,3,9,4,7,9,20,32,52,6,20
FREE BIRDS,23,248,9.219306843680128,7229,6407,1607,241,879,887,138,0.2508194162634618,1301,79,27,1272,583.2519277777778,1629.81482,4.034794273635665,1.2527400614911608,3,2,1,4,3,9,4,9,3,4,13,29,42,7,20
FREE AT LAST,23,242,8.40294094039196,7956,6978,1733,250,988,930,127,0.24835196331327028,1185,70,11,1082,555.1091244444444,1535.41895,4.216018666666667,1.295712194092827,6,9,6,3,1,4,2,3,1,2,25,12,37,8,20
ERIE LAKERS,23,195,8.143212858199334,7401,6573,1707,254,931,927,118,0.25969876768598815,1044,62,16,937,478.17859999999996,1372.42295,4.122229310344827,1.3145813697318007,7,5,5,2,9,1,3,1,2,1,28,8,36,9,20
LOUISVILLE SLUGGERS,23,217,10.657728461068558,7753,6983,1827,255,984,937,171,0.2616354002577689,1055,68,66,1061,454.06005,1310.1451200000001,3.873498056872038,1.2418437156398106,8,9,9,8,9,4,8,3,7,6,43,28,71,1,21
WESTSIDE MARAUDERS,23,262,11.026843497017085,7502,6691,1717,254,944,923,147,0.256613361231505,1345,84,32,1369,579.8898388888889,1648.608456,3.8803037546468406,1.2257311940520446,7,6,7,5,7,10,5,10,6,8,32,39,71,1,21
BLUE SOCKS,23,263,10.321699950407812,7771,7017,1803,229,936,918,186,0.2569474134245404,1095,69,83,1133,458.7035555555556,1336.96684,3.7701662100456623,1.220974283105023,3,5,6,9,8,5,10,5,10,9,31,39,70,2,21
NATIONAL PASTIME,23,262,10.463709773893003,7601,6812,1748,249,936,906,133,0.2566059894304169,1201,75,79,1152,510.8139577777778,1460.55816,3.8279147543713568,1.2161183680266445,6,5,3,3,6,8,9,7,9,10,23,43,66,3,21
HOOSIERS,23,231,10.26223436007557,7909,7009,1751,265,1004,977,216,0.24982165786845484,1217,73,14,1140,529.6726933333333,1548.26588,3.917053607230895,1.2721987510271158,10,10,10,10,2,7,3,6,5,2,42,23,65,4,21
MELONHEADS,23,227,9.81007706393922,7297,6475,1635,254,929,909,157,0.2525096525096525,1256,80,11,1241,534.243118888889,1544.3805200000002,3.828175214968153,1.2296023248407644,7,4,4,6,5,9,2,8,8,7,26,34,60,5,21
