billikenTeam,Position,Player,Contract,Salary
WESTSIDE MARAUDERS,CI,Brady House,2,1
WESTSIDE MARAUDERS,Util,NA,NA,NA
WESTSIDE MARAUDERS,P,Chase Burns,2,1
WESTSIDE MARAUDERS,P,Hunter Greene,2028,24
WESTSIDE MARAUDERS,P,Mason Miller,2,21
WESTSIDE MARAUDERS,P,Chris Sale,2027,18
WESTSIDE MARAUDERS,P,Abner Uribe,2,1
WESTSIDE MARAUDERS,P,Blake Snell,NA,13
WESTSIDE MARAUDERS,P,Luis Garcia Jr.,NA,14
WESTSIDE MARAUDERS,P,NA,NA,NA
WESTSIDE MARAUDERS,P,NA,NA,NA
