Name,Team,player_type,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_hitting,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,sgp_pitching,sgp_total,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,p_dh,p_sp,p_rp
Mike Yastrzemski,ATL,hitter,455,394,90,16,56,50,4,0.228559,NA,NA,NA,NA,NA,NA,0.19252755972291408,0.19237840717612992,0.28151186224013747,0.03300215434405244,-0.03936553430416463,0.6600544491790692,0,0,0,0,0,0,0.6600544491790692,0,0,0,0,0,1,0,0,1,0,0
Bubba Chandler,PIT,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,147,8,0,135,4.11889,1.3294,0,0,0,0,0,0,0.19623929172787807,0,0.3725443146120844,0.055932245063295985,0.028130812806499563,0.652846664209758,0.652846664209758,0,0,0,0,0,0,0,0,0,1,0
Matthew Liberatore,STL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,150,9,0,125,4.21834,1.31257,0,0,0,0,0,0,0.22076920319386284,0,0.34494843945563375,0.05041525348112586,0.035166592002442515,0.6512994881330649,0.6512994881330649,0,0,0,0,0,0,0,0,0,1,1
Garrett Mitchell,MIL,hitter,406,359,86,10,49,45,14,0.238388,NA,NA,NA,NA,NA,NA,0.16846161475754984,0.12023650448508119,0.2533606760161237,0.11550754020418354,-0.009756126261971232,0.6478102092009671,0,0,0,0,0,0,0.6478102092009671,0,0,0,0,0,1,0,0,1,0,0
Jameson Taillon,CHC,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,153,9,0,118,4.39721,1.25326,0,0,0,0,0,0,0.22076920319386284,0,0.3256313268461183,0.0392081759018091,0.05909672982134612,0.6447054357631363,0.6447054357631363,0,0,0,0,0,0,0,0,0,1,0
Ha-Seong Kim,ATL,hitter,413,360,88,9,48,42,15,0.244312,NA,NA,NA,NA,NA,NA,0.16502362261964065,0.10821285403657308,0.2364699642817155,0.12375807879019664,0.005998686169725527,0.6394632058978514,0,0,0,0,0,0,0.6394632058978514,0,0,0,0,1,0,0,1,1,0,0
Chad Patrick,MIL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,140,8,0,131,4.41178,1.27488,0,0,0,0,0,0,0.19623929172787807,0,0.3615059645495042,0.0349662920845722,0.046328076811630904,0.6390396251735854,0.6390396251735854,0,0,0,0,0,0,0,0,0,1,0
Pavin Smith,ARI,hitter,455,393,93,13,52,52,3,0.236836,NA,NA,NA,NA,NA,NA,0.17877559117127736,0.15630745583060557,0.292772336729743,0.02475161575803933,-0.015193760543417084,0.6374132389462482,0,0,0,0,0,0,0.6374132389462482,0,1,0,0,0,1,1,0,1,0,0
Luis Rengifo,MIL,hitter,434,399,100,9,45,45,10,0.251054,NA,NA,NA,NA,NA,NA,0.1547096462059131,0.10821285403657308,0.2533606760161237,0.08250538586013109,0.026555543521111346,0.6253441056398524,0,0,0,0,0,0,0.6253441056398524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake McCarthy,COL,hitter,357,322,88,6,44,37,14,0.274799,NA,NA,NA,NA,NA,NA,0.1512716540680039,0.07214190269104873,0.20831877805770174,0.11550754020418354,0.07801199697897579,0.6252518719999137,0,0,0,0,0,0,0.6252518719999137,0,0,0,0,0,1,0,0,1,0,0
Tyler Stephenson,CIN,hitter,450,398,93,14,50,53,1,0.233952,NA,NA,NA,NA,NA,NA,0.171899606895459,0.16833110627911368,0.2984025739745457,0.00825053858601311,-0.02388126560669219,0.6230025601284392,0,0,0,0,0,0,0.6230025601284392,1,0,0,0,0,0,0,0,1,0,0
