Name,Team,billikenTeam,contract,salary,point_value,repl,par,ev,surplus,PA,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,keepingTeam,pick
Bryce Harper,PHI,NA,NA,NA,8.8,3.3,5.500000000000001,21.3,NA,665,29,90,95,11,0.273,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,NA,1
Freddie Freeman,LAD,NA,NA,NA,8.4,3.3,5.1000000000000005,20.2,NA,651,24,89,91,8,0.284,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,NA,2
James Wood,WSN,NA,NA,NA,8.1,3.3,4.8,19.3,NA,644,27,90,84,16,0.261,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,3
Bo Bichette,NYM,NA,NA,NA,7.9,3.3,4.6000000000000005,18.7,NA,658,19,81,86,6,0.291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
Christian Yelich,MIL,NA,NA,NA,7,3.3,3.7,16,NA,630,20,81,80,17,0.256,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,5
Eugenio Suarez,CIN,NA,NA,NA,6.9,3.3,3.6000000000000005,15.7,NA,616,35,79,97,3,0.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
Devin Williams,NYM,NA,NA,NA,5.2,1.6,3.6,15.7,NA,NA,NA,NA,NA,NA,NA,64,5,32,85,3.13,1.14,0,0,0,0,0,0,0,0,NA,7
Adolis Garcia,PHI,NA,NA,NA,6.8,3.3,3.5,15.4,NA,609,27,75,88,13,0.241,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,8
Luis Arraez,SFG,NA,NA,NA,6.7,3.3,3.4000000000000004,15.1,NA,623,6,73,58,9,0.308,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,1,1,NA,9
Bryson Stott,PHI,NA,NA,NA,6.6,3.3,3.3,14.8,NA,623,14,73,67,25,0.258,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,NA,10
Alex Bregman,CHC,NA,NA,NA,6.3,3.3,3,13.9,NA,672,23,87,82,3,0.25,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,NA,11
Alec Bohm,PHI,NA,NA,NA,6.3,3.3,3,13.9,NA,609,16,70,77,3,0.278,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,1,0,NA,12
Gabriel Moreno,ARI,NA,NA,NA,4.7,1.9,2.8000000000000003,13.3,NA,456,11,54,56,4,0.279,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,13
Xander Bogaerts,SDP,NA,NA,NA,6,3.3,2.7,13,NA,609,13,68,63,17,0.264,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,NA,14
Jorge Polanco,NYM,NA,NA,NA,5.9,3.3,2.6000000000000005,12.7,NA,546,24,66,77,5,0.251,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,NA,15
Marcus Semien,NYM,NA,NA,NA,5.8,3.3,2.5,12.4,NA,644,20,83,75,9,0.242,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,NA,16
Pete Fairbanks,MIA,NA,NA,NA,4.1,1.6,2.4999999999999996,12.4,NA,NA,NA,NA,NA,NA,NA,62,4,27,64,3.38,1.2,0,0,0,0,0,0,0,0,NA,17
Konnor Griffin,PIT,NA,NA,NA,5.7,3.3,2.4000000000000004,12.2,NA,469,11,67,55,23,0.26,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,18
Brandon Lowe,PIT,Louisville Sluggers,1,15,5.3,3.3,2,11,-4,546,23,69,68,4,0.243,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,1,NA,19
Sal Frelick,MIL,NA,NA,NA,5.1,3.3,1.7999999999999998,10.4,NA,511,8,60,52,15,0.271,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,20
Justin Crawford,PHI,NA,NA,NA,5.1,3.3,1.7999999999999998,10.4,NA,427,6,56,43,22,0.276,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,21
Blake Snell,LAD,NA,NA,NA,3.4,1.6,1.7999999999999998,10.4,NA,NA,NA,NA,NA,NA,NA,141,10,0,175,3.55,1.24,0,0,0,0,0,0,0,0,NA,22
JJ Wetherholt,STL,Hoosiers,2,1,4.8,3.3,1.5,9.5,8.5,532,11,62,59,11,0.254,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,NA,23
Tyler Glasnow,LAD,Hoosiers,Opt,11,3.1,1.6,1.5,9.5,-1.5,NA,NA,NA,NA,NA,NA,133,8,0,155,3.68,1.2,0,0,0,0,0,0,0,0,NA,24
Lars Nootbaar,STL,NA,NA,NA,4.7,3.3,1.4000000000000004,9.2,NA,546,16,70,54,7,0.247,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,25
Moises Ballesteros,CHC,Hoosiers,2,1,3.3,1.9,1.4,9.2,8.2,382,9,41,45,2,0.264,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,26
Joe Musgrove,SDP,NA,NA,NA,2.9,1.6,1.2999999999999998,8.9,NA,NA,NA,NA,NA,NA,NA,158,9,0,145,3.89,1.21,0,0,0,0,0,0,0,0,NA,27
Brett Baty,NYM,Louisville Sluggers,2,2,4.5,3.3,1.2000000000000002,8.6,6.6,455,18,54,57,5,0.249,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,1,1,NA,28
Spencer Horwitz,PIT,NA,NA,NA,4.4,3.3,1.1000000000000005,8.3,NA,490,11,62,51,2,0.269,NA,NA,NA,NA,NA,NA,0,1,1,0,0,0,1,1,NA,29
Merrill Kelly,ARI,NA,NA,NA,2.7,1.6,1.1,8.3,NA,NA,NA,NA,NA,NA,NA,169,11,0,151,3.94,1.27,0,0,0,0,0,0,0,0,NA,30
JoJo Romero,STL,Louisville Sluggers,2,1,2.7,1.6,1.1,8.3,7.3,NA,NA,NA,NA,NA,NA,64,5,14,62,3.49,1.29,0,0,0,0,0,0,0,0,NA,31
Jared Triolo,PIT,Louisville Sluggers,2,1,4.3,3.3,1,8,7,553,9,62,51,15,0.245,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,1,1,NA,32
Jordan Walker,STL,NA,NA,NA,4.3,3.3,1,8,NA,546,15,56,60,10,0.238,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,33
Nick Lodolo,CIN,NA,NA,NA,2.6,1.6,1,8,NA,NA,NA,NA,NA,NA,NA,151,9,0,154,4.13,1.2,0,0,0,0,0,0,0,0,NA,34
Jake Cronenworth,SDP,Hoosiers,2,12,4.2,3.3,0.9000000000000004,7.7,-4.3,630,15,70,65,4,0.234,NA,NA,NA,NA,NA,NA,0,1,1,0,1,0,1,1,NA,35
Brady House,WSN,Westside Marauders,2,1,4.2,3.3,0.9000000000000004,7.7,6.7,525,14,55,61,5,0.245,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,NA,36
Carson Kelly,CHC,Westside Marauders,2,1,2.8,1.9,0.8999999999999999,7.7,6.7,380,12,43,44,2,0.233,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,37
Nolan McLean,NYM,Hoosiers,2,1,2.5,1.6,0.8999999999999999,7.7,6.7,NA,NA,NA,NA,NA,NA,145,10,0,140,3.82,1.29,0,0,0,0,0,0,0,0,NA,38
Edward Cabrera,CHC,Hoosiers,2,2,2.5,1.6,0.8999999999999999,7.7,5.7,NA,NA,NA,NA,NA,NA,137,9,0,146,3.92,1.25,0,0,0,0,0,0,0,0,NA,39
Riley O'Brien,STL,NA,NA,NA,2.4,1.6,0.7999999999999998,7.4,NA,NA,NA,NA,NA,NA,NA,63,3,16,65,3.71,1.32,0,0,0,0,0,0,0,0,NA,40
Jake McCarthy,COL,Erie Lakers,2,1,4,3.3,0.7000000000000002,7.1,6.1,357,6,44,37,14,0.275,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,41
Brandon Pfaadt,ARI,Westside Marauders,Opt,10,2.3,1.6,0.6999999999999997,7.1,-2.9,NA,NA,NA,NA,NA,NA,162,10,0,144,4.22,1.25,0,0,0,0,0,0,0,0,NA,42
Jeremiah Estrada,SDP,Blue Socks,2,4,2.3,1.6,0.6999999999999997,7.1,3.1,NA,NA,NA,NA,NA,NA,70,5,1,95,3.29,1.15,0,0,0,0,0,0,0,0,NA,43
Kevin Ginkel,ARI,Westside Marauders,2,2,2.3,1.6,0.6999999999999997,7.1,5.1,NA,NA,NA,NA,NA,NA,62,4,12,64,3.61,1.28,0,0,0,0,0,0,0,0,NA,44
Victor Vodnik,COL,Louisville Sluggers,2,1,2.3,1.6,0.6999999999999997,7.1,6.1,NA,NA,NA,NA,NA,NA,64,3,22,62,4.25,1.46,0,0,0,0,0,0,0,0,NA,45
Clayton Beeter,WSN,NA,NA,NA,2.3,1.6,0.6999999999999997,7.1,NA,NA,NA,NA,NA,NA,NA,63,3,17,72,3.98,1.36,0,0,0,0,0,0,0,0,NA,46
Ke'Bryan Hayes,CIN,Blue Socks,2,11,3.9,3.3,0.6000000000000001,6.8,-4.2,532,10,55,53,11,0.244,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,NA,47
Ryne Nelson,ARI,Erie Lakers,2,2,2.2,1.6,0.6000000000000001,6.8,4.8,NA,NA,NA,NA,NA,NA,169,9,0,139,4.09,1.27,0,0,0,0,0,0,0,0,NA,48
Sean Manaea,NYM,NA,NA,NA,2.2,1.6,0.6000000000000001,6.8,NA,NA,NA,NA,NA,NA,NA,136,8,0,140,4.2,1.23,0,0,0,0,0,0,0,0,NA,49
Hunter Harvey,CHC,NA,NA,NA,2.2,1.6,0.6000000000000001,6.8,NA,NA,NA,NA,NA,NA,NA,52,4,5,58,3.09,1.1,0,0,0,0,0,0,0,0,NA,50
Garrett Mitchell,MIL,Hoosiers,Opt,4,3.8,3.3,0.5,6.5,2.5,406,10,49,45,14,0.238,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,51
Tyler Freeman,COL,Louisville Sluggers,2,1,3.8,3.3,0.5,6.5,5.5,357,5,45,34,13,0.274,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0,1,NA,52
Braxton Garrett,MIA,NA,NA,NA,2.1,1.6,0.5,6.5,NA,NA,NA,NA,NA,NA,NA,129,7,0,112,3.89,1.24,0,0,0,0,0,0,0,0,NA,53
Jose Alvarado,PHI,NA,NA,NA,2.1,1.6,0.5,6.5,NA,NA,NA,NA,NA,NA,NA,64,5,3,75,3.3,1.24,0,0,0,0,0,0,0,0,NA,54
Keibert Ruiz,WSN,NA,NA,NA,2.3,1.9,0.3999999999999999,6.2,NA,320,8,30,35,2,0.249,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,55
David Peterson,NYM,NA,NA,NA,2,1.6,0.3999999999999999,6.2,NA,NA,NA,NA,NA,NA,NA,163,9,0,146,3.85,1.35,0,0,0,0,0,0,0,0,NA,56
Quinn Priester,MIL,Westside Marauders,2,1,2,1.6,0.3999999999999999,6.2,5.2,NA,NA,NA,NA,NA,NA,174,10,0,145,4.12,1.31,0,0,0,0,0,0,0,0,NA,57
Dustin May,STL,NA,NA,NA,2,1.6,0.3999999999999999,6.2,NA,NA,NA,NA,NA,NA,NA,156,9,0,141,4.17,1.29,0,0,0,0,0,0,0,0,NA,58
Luis Rengifo,MIL,NA,NA,NA,3.6,3.3,0.30000000000000027,5.9,NA,434,9,45,45,10,0.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59
Bryce Eldridge,SFG,Blue Socks,2,1,3.6,3.3,0.30000000000000027,5.9,4.9,448,18,45,58,1,0.235,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,NA,60
Luis Campusano,SDP,NA,NA,NA,2.2,1.9,0.30000000000000027,5.9,NA,259,8,31,31,1,0.247,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,61
Brady Singer,CIN,Erie Lakers,2,2,1.9,1.6,0.2999999999999998,5.9,3.9,NA,NA,NA,NA,NA,NA,169,10,0,160,4.38,1.3,0,0,0,0,0,0,0,0,NA,62
Michael McGreevy,STL,Louisville Sluggers,2,1,1.9,1.6,0.2999999999999998,5.9,4.9,NA,NA,NA,NA,NA,NA,144,9,0,100,3.98,1.27,0,0,0,0,0,0,0,0,NA,63
Logan Henderson,MIL,Free Birds,2,1,1.9,1.6,0.2999999999999998,5.9,4.9,NA,NA,NA,NA,NA,NA,105,7,0,106,4.13,1.22,0,0,0,0,0,0,0,0,NA,64
A.J. Puk,ARI,Blue Socks,Opt,3,1.9,1.6,0.2999999999999998,5.9,2.9,NA,NA,NA,NA,NA,NA,42,3,7,50,3.32,1.17,0,0,0,0,0,0,0,0,NA,65
Mike Yastrzemski,ATL,NA,NA,NA,3.5,3.3,0.20000000000000018,5.6,NA,455,16,56,50,4,0.229,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,66
Edouard Julien,COL,NA,NA,NA,3.5,3.3,0.20000000000000018,5.6,NA,434,11,50,43,5,0.249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67
Pedro Pages,STL,Big Red Machine,2,1,2.1,1.9,0.20000000000000018,5.6,4.6,358,10,34,39,1,0.228,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,68
Clay Holmes,NYM,NA,NA,NA,1.8,1.6,0.19999999999999996,5.6,NA,NA,NA,NA,NA,NA,NA,153,10,0,125,3.89,1.37,0,0,0,0,0,0,0,0,NA,69
Justin Steele,CHC,Erie Lakers,2027,16,1.8,1.6,0.19999999999999996,5.6,-10.4,NA,NA,NA,NA,NA,NA,81,5,0,76,3.58,1.2,0,0,0,0,0,0,0,0,NA,70
Orion Kerkering,PHI,NA,NA,NA,1.8,1.6,0.19999999999999996,5.6,NA,NA,NA,NA,NA,NA,NA,63,5,1,70,3.48,1.21,0,0,0,0,0,0,0,0,NA,71
Michael Soroka,ARI,NA,NA,NA,1.8,1.6,0.19999999999999996,5.6,NA,NA,NA,NA,NA,NA,NA,96,6,2,96,4.06,1.26,0,0,0,0,0,0,0,0,NA,72
A.J. Minter,NYM,NA,NA,NA,1.8,1.6,0.19999999999999996,5.6,NA,NA,NA,NA,NA,NA,NA,56,4,2,63,3.42,1.18,0,0,0,0,0,0,0,0,NA,73
Nick Gonzales,PIT,Louisville Sluggers,2,9,3.4,3.3,0.10000000000000009,5.3,-3.7,420,8,46,45,2,0.264,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,NA,74
Owen Caissie,MIA,Big Red Machine,2,1,3.4,3.3,0.10000000000000009,5.3,4.3,413,13,48,48,4,0.24,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,75
Pavin Smith,ARI,Big Red Machine,2,4,3.4,3.3,0.10000000000000009,5.3,1.3,455,13,52,52,3,0.237,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,0,NA,76
Pavin Smith,ARI,Big Red Machine,2,4,3.4,3.3,0.10000000000000009,5.3,1.3,455,13,52,52,3,0.237,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,77
Spencer Steer,CIN,Westside Marauders,2,14,3.4,3.3,0.10000000000000009,5.3,-8.7,378,13,44,47,6,0.236,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,0,NA,78
Bubba Chandler,PIT,Big Red Machine,2,4,1.7,1.6,0.09999999999999987,5.3,1.3,NA,NA,NA,NA,NA,NA,147,8,0,135,4.12,1.33,0,0,0,0,0,0,0,0,NA,79
Foster Griffin,WSN,NA,NA,NA,1.7,1.6,0.09999999999999987,5.3,NA,NA,NA,NA,NA,NA,NA,128,7,0,115,4.1,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
Jameson Taillon,CHC,Westside Marauders,2,4,1.7,1.6,0.09999999999999987,5.3,1.3,NA,NA,NA,NA,NA,NA,153,9,0,118,4.4,1.25,0,0,0,0,0,0,0,0,NA,81
Chad Patrick,MIL,NA,NA,NA,1.7,1.6,0.09999999999999987,5.3,NA,NA,NA,NA,NA,NA,NA,140,8,0,131,4.41,1.27,0,0,0,0,0,0,0,0,NA,82
Landen Roupp,SFG,Hoosiers,2,1,1.7,1.6,0.09999999999999987,5.3,4.3,NA,NA,NA,NA,NA,NA,128,8,0,120,3.95,1.34,0,0,0,0,0,0,0,0,NA,83
Kodai Senga,NYM,NA,NA,NA,1.7,1.6,0.09999999999999987,5.3,NA,NA,NA,NA,NA,NA,NA,119,7,0,119,3.86,1.32,0,0,0,0,0,0,0,0,NA,84
Tyler Mahle,SFG,NA,NA,NA,1.7,1.6,0.09999999999999987,5.3,NA,NA,NA,NA,NA,NA,NA,137,8,0,113,4.05,1.29,0,0,0,0,0,0,0,0,NA,85
Alex Vesia,LAD,Free Birds,2,1,1.7,1.6,0.09999999999999987,5.3,4.3,NA,NA,NA,NA,NA,NA,61,4,1,77,3.55,1.19,0,0,0,0,0,0,0,0,NA,86
Caleb Thielbar,CHC,NA,NA,NA,1.7,1.6,0.09999999999999987,5.3,NA,NA,NA,NA,NA,NA,NA,66,5,1,69,3.63,1.21,0,0,0,0,0,0,0,0,NA,87
Phil Maton,CHC,NA,NA,NA,1.7,1.6,0.09999999999999987,5.3,NA,NA,NA,NA,NA,NA,NA,65,4,4,67,3.76,1.23,0,0,0,0,0,0,0,0,NA,88
Alek Thomas,ARI,Free Birds,2,1,3.3,3.3,0,5,4,420,10,47,45,7,0.243,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,89
Carson Benge,NYM,NA,NA,NA,3.3,3.3,0,5,NA,392,9,50,44,8,0.241,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,90
Jose Trevino,CIN,NA,NA,NA,1.9,1.9,0,5,NA,282,7,29,29,1,0.24,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,91
Joey Bart,PIT,Westside Marauders,2,1,1.9,1.9,0,5,4,301,7,32,31,1,0.238,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,92
Henry Davis,PIT,NA,NA,NA,1.9,1.9,0,5,NA,282,8,31,30,4,0.224,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,93
Matthew Liberatore,STL,National Pastime,2,1,1.6,1.6,0,5,4,NA,NA,NA,NA,NA,NA,150,9,0,125,4.22,1.31,0,0,0,0,0,0,0,0,NA,94
Dylan Lee,ATL,NA,NA,NA,1.6,1.6,0,5,NA,NA,NA,NA,NA,NA,NA,65,3,1,73,3.55,1.17,0,0,0,0,0,0,0,0,NA,95
Luke Weaver,NYM,NA,NA,NA,1.6,1.6,0,5,NA,NA,NA,NA,NA,NA,NA,67,4,4,73,4,1.24,0,0,0,0,0,0,0,0,NA,96
Jake Mangum,PIT,NA,NA,NA,3.2,3.3,-0.09999999999999964,4.7,NA,315,3,32,30,12,0.282,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,97
Braxton Fulford,COL,NA,NA,NA,1.8,1.9,-0.09999999999999987,4.7,NA,205,6,24,25,2,0.244,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,98
Liam Hicks,MIA,Free Birds,2,1,1.8,1.9,-0.09999999999999987,4.7,3.7,305,4,30,29,2,0.244,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,1,0,NA,99
Max Meyer,MIA,Hoosiers,2,1,1.5,1.6,-0.10000000000000009,4.7,3.7,NA,NA,NA,NA,NA,NA,137,8,0,123,4.24,1.32,0,0,0,0,0,0,0,0,NA,100
Jared Koenig,MIL,NA,NA,NA,1.5,1.6,-0.10000000000000009,4.7,NA,NA,NA,NA,NA,NA,NA,65,4,1,66,3.55,1.23,0,0,0,0,0,0,0,0,NA,101
Matt Svanson,STL,NA,NA,NA,1.5,1.6,-0.10000000000000009,4.7,NA,NA,NA,NA,NA,NA,NA,65,3,6,59,3.8,1.3,0,0,0,0,0,0,0,0,NA,102
Jacob Young,WSN,NA,NA,NA,3.1,3.3,-0.19999999999999973,4.4,NA,350,3,40,30,18,0.251,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,103
Jared Jones,PIT,Hoosiers,Opt,1,1.4,1.6,-0.20000000000000018,4.4,3.4,NA,NA,NA,NA,NA,NA,88,5,0,86,3.96,1.28,0,0,0,0,0,0,0,0,NA,104
Gregory Soto,PIT,NA,NA,NA,1.4,1.6,-0.20000000000000018,4.4,NA,NA,NA,NA,NA,NA,NA,61,3,4,66,3.69,1.3,0,0,0,0,0,0,0,0,NA,105
Erik Miller,SFG,NA,NA,NA,1.4,1.6,-0.20000000000000018,4.4,NA,NA,NA,NA,NA,NA,NA,62,4,4,67,3.6,1.38,0,0,0,0,0,0,0,0,NA,106
Drey Jameson,ARI,NA,NA,NA,1.4,1.6,-0.20000000000000018,4.4,NA,NA,NA,NA,NA,NA,NA,59,4,5,55,3.88,1.33,0,0,0,0,0,0,0,0,NA,107
JJ Bleday,CIN,NA,NA,NA,3,3.3,-0.2999999999999998,4.1,NA,336,14,42,43,2,0.23,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,108
Joe Mack,MIA,NA,NA,NA,1.6,1.9,-0.2999999999999998,4.1,NA,263,8,29,30,2,0.219,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,109
Harry Ford,WSN,NA,NA,NA,1.6,1.9,-0.2999999999999998,4.1,NA,238,5,28,24,4,0.232,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,110
Yohel Pozo,STL,NA,NA,NA,1.6,1.9,-0.2999999999999998,4.1,NA,167,5,17,21,1,0.264,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,111
Grant Holmes,ATL,Big Red Machine,2,5,1.3,1.6,-0.30000000000000004,4.1,-0.9,NA,NA,NA,NA,NA,NA,116,7,0,111,4.16,1.35,0,0,0,0,0,0,0,0,NA,112
Robert Gasser,MIL,NA,NA,NA,1.3,1.6,-0.30000000000000004,4.1,NA,NA,NA,NA,NA,NA,NA,84,5,0,78,4.06,1.26,0,0,0,0,0,0,0,0,NA,113
Graham Ashcraft,CIN,NA,NA,NA,1.3,1.6,-0.30000000000000004,4.1,NA,NA,NA,NA,NA,NA,NA,65,5,2,59,3.88,1.29,0,0,0,0,0,0,0,0,NA,114
Blake Treinen,LAD,NA,NA,NA,1.3,1.6,-0.30000000000000004,4.1,NA,NA,NA,NA,NA,NA,NA,58,5,1,65,3.94,1.28,0,0,0,0,0,0,0,0,NA,115
Sam Hentges,SFG,NA,NA,NA,1.3,1.6,-0.30000000000000004,4.1,NA,NA,NA,NA,NA,NA,NA,54,3,0,53,3.28,1.22,0,0,0,0,0,0,0,0,NA,116
Jason Adam,SDP,Free Birds,2,5,1.3,1.6,-0.30000000000000004,4.1,-0.9,NA,NA,NA,NA,NA,NA,51,3,0,54,3.52,1.19,0,0,0,0,0,0,0,0,NA,117
Paul Sewald,ARI,NA,NA,NA,1.3,1.6,-0.30000000000000004,4.1,NA,NA,NA,NA,NA,NA,NA,58,3,8,57,4.53,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,118
Jordan Lawlar,ARI,Westside Marauders,2,2,2.9,3.3,-0.3999999999999999,3.8,1.8,329,7,40,35,12,0.237,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,1,1,NA,119
Nasim Nunez,WSN,NA,NA,NA,2.9,3.3,-0.3999999999999999,3.8,NA,315,3,36,26,24,0.227,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,NA,120
Troy Johnston,COL,Louisville Sluggers,2,1,2.9,3.3,-0.3999999999999999,3.8,2.8,273,7,31,33,8,0.262,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,0,NA,121
Cade Cavalli,WSN,Hoosiers,2,1,1.2,1.6,-0.40000000000000013,3.8,2.8,NA,NA,NA,NA,NA,NA,135,7,0,115,4.2,1.33,0,0,0,0,0,0,0,0,NA,122
Eduardo Rodriguez,ARI,NA,NA,NA,1.2,1.6,-0.40000000000000013,3.8,NA,NA,NA,NA,NA,NA,NA,124,8,0,110,4.24,1.36,0,0,0,0,0,0,0,0,NA,123
Brooks Raley,NYM,NA,NA,NA,1.2,1.6,-0.40000000000000013,3.8,NA,NA,NA,NA,NA,NA,NA,62,3,1,61,3.81,1.23,0,0,0,0,0,0,0,0,NA,124
Cole Henry,WSN,NA,NA,NA,1.2,1.6,-0.40000000000000013,3.8,NA,NA,NA,NA,NA,NA,NA,64,2,16,60,4.94,1.46,0,0,0,0,0,0,0,0,NA,125
Thomas Saggese,STL,Westside Marauders,2,1,2.8,3.3,-0.5,3.6,2.6,371,8,40,39,4,0.249,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,1,1,NA,126
Jake Bauers,MIL,NA,NA,NA,2.8,3.3,-0.5,3.6,NA,315,13,37,38,8,0.216,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,0,NA,127
Carmen Mlodzinski,PIT,NA,NA,NA,1.1,1.6,-0.5,3.6,NA,NA,NA,NA,NA,NA,NA,68,4,0,60,3.73,1.3,0,0,0,0,0,0,0,0,NA,128
Brusdar Graterol,LAD,NA,NA,NA,1.1,1.6,-0.5,3.6,NA,NA,NA,NA,NA,NA,NA,55,3,0,47,3.54,1.21,0,0,0,0,0,0,0,0,NA,129
Aaron Bummer,ATL,NA,NA,NA,1.1,1.6,-0.5,3.6,NA,NA,NA,NA,NA,NA,NA,60,4,0,62,3.57,1.32,0,0,0,0,0,0,0,0,NA,130
Aaron Ashby,MIL,NA,NA,NA,1.1,1.6,-0.5,3.6,NA,NA,NA,NA,NA,NA,NA,64,4,1,67,3.72,1.37,0,0,0,0,0,0,0,0,NA,131
Andrew Nardi,MIA,NA,NA,NA,1.1,1.6,-0.5,3.6,NA,NA,NA,NA,NA,NA,NA,56,3,0,67,3.71,1.26,0,0,0,0,0,0,0,0,NA,132
Mason Montgomery,PIT,NA,NA,NA,1.1,1.6,-0.5,3.6,NA,NA,NA,NA,NA,NA,NA,60,3,2,63,3.87,1.31,0,0,0,0,0,0,0,0,NA,133
Calvin Faucher,MIA,Blue Socks,2,3,1.1,1.6,-0.5,3.6,0.6,NA,NA,NA,NA,NA,NA,64,3,5,64,4,1.38,0,0,0,0,0,0,0,0,NA,134
Angel Zerpa,MIL,NA,NA,NA,1.1,1.6,-0.5,3.6,NA,NA,NA,NA,NA,NA,NA,60,3,0,57,3.61,1.25,0,0,0,0,0,0,0,0,NA,135
Julian Fernandez,WSN,NA,NA,NA,1.1,1.6,-0.5,3.6,NA,NA,NA,NA,NA,NA,NA,59,3,2,59,3.96,1.28,0,0,0,0,0,0,0,0,NA,136
Julian Fernandez,WSN,NA,NA,NA,1.1,1.6,-0.5,3.6,NA,NA,NA,NA,NA,NA,NA,59,3,2,59,3.96,1.28,0,0,0,1,0,0,1,0,NA,137
Christopher Morel,MIA,NA,NA,NA,2.7,3.3,-0.5999999999999996,3.3,NA,315,13,37,39,6,0.223,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,1,1,NA,138
Dalton Rushing,LAD,Blue Socks,2,3,1.3,1.9,-0.5999999999999999,3.3,0.3,169,6,21,22,1,0.228,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0,NA,139
