season,team_name,abbrev,final_standing,points_for,R,R_pts,R_frac,HR,HR_pts,HR_frac,RBI,RBI_pts,RBI_frac,SB,SB_pts,SB_frac,AVG,AVG_pts,AVG_frac,W,W_pts,W_frac,SV,SV_pts,SV_frac,SO,SO_pts,SO_frac,ERA,ERA_pts,ERA_frac,WHIP,WHIP_pts,WHIP_frac
2023,Free Birds,FREE,2,69,1015,0.875,0.9584513692162417,252,0.375,0.802547770700637,987,0.875,0.9454022988505747,173,0.5,0.8871794871794871,0.25764985,0.625,0.9582066214514862,87,0.875,0.9560439560439561,72,0.875,0.8181818181818182,1183,0.625,0.9023646071700991,3.84667571,0.75,0.9782570181877901,1.19185889,1,1
2023,Hoosiers,HOOS,3,63,992,0.5,0.9367327667610954,264,0.5,0.8407643312101911,934,0.5625,0.8946360153256705,186,0.8125,0.9538461538461539,0.24415818,0.125,0.9080307431094713,76,0.5,0.8351648351648352,88,1,1,1266,0.875,0.965675057208238,3.79057187,0.875,0.9927360934064021,1.20015456,0.875,0.9930878319539109
2023,Melonheads,MELO,4,59,968,0.375,0.9140698772426817,285,0.875,0.9076433121019108,984,0.75,0.9425287356321839,181,0.625,0.9282051282051282,0.24791006,0.25,0.9219840842773058,78,0.625,0.8571428571428571,55,0.375,0.625,1163,0.5,0.8871090770404272,3.76303751,1,1,1.26989936,0.75,0.9385459411523761
2023,Erie Lakers,ERIE,5,58.5,996,0.75,0.9405099150141643,225,0,0.7165605095541401,825,0,0.7902298850574713,186,0.8125,0.9538461538461539,0.26888757,1,1,91,1,1,63,0.5,0.7159090909090909,1311,1,1,4.14792746,0.5,0.9072090932853488,1.28782383,0.375,0.9254828667054561
2023,Big Red Machine,BIGR,6,37.5,937,0.25,0.8847969782813976,276,0.75,0.8789808917197452,892,0.3125,0.8544061302681992,171,0.375,0.8769230769230769,0.24966701,0.375,0.9285182278972582,71,0.125,0.7802197802197802,64,0.625,0.7272727272727273,1027,0.125,0.7833714721586575,4.22994315,0.375,0.8896189325854178,1.3730259,0,0.8680527366599566
2023,National Pastime,PAST,7,30.5,895,0.125,0.8451369216241738,265,0.625,0.8439490445859873,892,0.3125,0.8544061302681992,74,0,0.37948717948717947,0.25297332,0.5,0.9408144824247546,73,0.375,0.8021978021978022,1,0,0.011363636363636364,1041,0.25,0.7940503432494279,5.08377101,0,0.7402059421240533,1.36922269,0.125,0.8704638761135342
2023,Rebuilding  Year,RY,8,29.5,993,0.625,0.9376770538243626,239,0.125,0.7611464968152867,934,0.5625,0.8946360153256705,137,0.125,0.7025641025641025,0.26650117,0.875,0.9911249151457614,65,0,0.7142857142857143,31,0.125,0.3522727272727273,1018,0,0.7765064836003052,4.39754816,0.125,0.8557126319226029,1.28196147,0.5,0.9297150639012576
2023,Louisville Sluggers,LVSL,9,27,891,0,0.8413597733711048,242,0.25,0.7707006369426752,887,0.125,0.8496168582375478,141,0.25,0.7230769230769231,0.2435323,0,0.905703078799812,72,0.25,0.7912087912087912,48,0.25,0.5454545454545454,1146,0.375,0.8741418764302059,4.25611888,0.25,0.8841476509697493,1.32255245,0.25,0.901180811392395
2024,Hoosiers,HOOS,1,81,1032,1,1,297,1,1,1024,1,1,204,0.7777777777777778,0.7937743190661478,0.24262825,0.3333333333333333,0.9267998192301405,79,0.6666666666666666,0.79,75,0.8888888888888888,0.9146341463414634,1296,0.8888888888888888,0.9908256880733946,4.02387535,0.5555555555555556,0.7314563608437821,1.24930887,0.5555555555555556,0.8443231656555836
2024,Louisville Sluggers,LVSL,2,75,1015,0.8888888888888888,0.9835271317829457,268,0.7777777777777778,0.9023569023569024,989,0.8888888888888888,0.9658203125,257,1,1,0.25567568,0.8888888888888888,0.9766388456642756,65,0.3333333333333333,0.65,70,0.7777777777777778,0.8536585365853658,1192,0.5555555555555556,0.9113149847094801,4.17216847,0.3333333333333333,0.7054579030457991,1.2618099,0.4444444444444444,0.8359582691497348
2024,Westside Marauders,WM,3,69,982,0.7777777777777778,0.9515503875968992,247,0.4444444444444444,0.8316498316498316,951,0.7777777777777778,0.9287109375,110,0,0.4280155642023346,0.24025708,0.1111111111111111,0.9177423416801689,100,1,1,62,0.6666666666666666,0.7560975609756098,1308,1,1,3.59953763,0.7777777777777778,0.8176853592165392,1.1844336,0.7777777777777778,0.8905694840132871
2024,Melonheads,MELO,4,64,937,0.6666666666666666,0.9079457364341085,234,0.3333333333333333,0.7878787878787878,881,0.3333333333333333,0.8603515625,200,0.6666666666666666,0.7782101167315175,0.23901137,0,0.9129839353411989,80,0.7777777777777778,0.8,60,0.5555555555555556,0.7317073170731707,1228,0.6666666666666666,0.9388379204892966,2.94328922,1,1,1.05482042,1,1
2024,Big Red Machine,BIGR,5,61,908,0.2222222222222222,0.8798449612403101,265,0.6666666666666666,0.8922558922558923,863,0.2222222222222222,0.8427734375,116,0.1111111111111111,0.45136186770428016,0.25214676,0.6666666666666666,0.9631589544394178,81,0.8888888888888888,0.81,82,1,1,1137,0.3333333333333333,0.8692660550458715,3.70456432,0.6666666666666666,0.7945034734880781,1.21991701,0.6666666666666666,0.8646657201705876
2024,Erie Lakers,ERIE,6,52,924,0.3333333333333333,0.8953488372093024,169,0,0.569023569023569,815,0.1111111111111111,0.7958984375,216,0.8888888888888888,0.8404669260700389,0.26179143,1,1,73,0.5555555555555556,0.73,24,0.1111111111111111,0.2926829268292683,1255,0.7777777777777778,0.959480122324159,4.24016924,0.2222222222222222,0.6941442790146745,1.28198109,0.2222222222222222,0.8228049760078755
2024,National Pastime,PAST,7,51.5,934,0.5,0.9050387596899225,275,0.8888888888888888,0.9259259259259259,938,0.6666666666666666,0.916015625,157,0.5555555555555556,0.6108949416342413,0.25119955,0.5555555555555556,0.9595407687715369,63,0.2222222222222222,0.63,25,0.2222222222222222,0.3048780487804878,1145,0.4444444444444444,0.8753822629969419,4.46183311,0,0.659659191062841,1.34445964,0.1111111111111111,0.7845683043337768
2024,Rebuilding  Year,RY,8,37.5,934,0.5,0.9050387596899225,250,0.5555555555555556,0.8417508417508418,884,0.4444444444444444,0.86328125,119,0.2222222222222222,0.46303501945525294,0.25436333,0.7777777777777778,0.9716258855379644,48,0,0.48,7,0,0.08536585365853659,832,0,0.636085626911315,4.45990404,0.1111111111111111,0.6599445175506512,1.34989719,0,0.7814079678171638
2024,Free Birds,FREE,9,35,885,0.1111111111111111,0.8575581395348837,217,0.2222222222222222,0.7306397306397306,911,0.5555555555555556,0.8896484375,140,0.3333333333333333,0.5447470817120622,0.24749304,0.4444444444444444,0.9453825130944891,66,0.4444444444444444,0.66,38,0.4444444444444444,0.4634146341463415,962,0.1111111111111111,0.735474006116208,3.37617555,0.8888888888888888,0.8717820434426166,1.18181818,0.8888888888888888,0.8925403567577543
2024,Blue Socks,BLUE,10,24,807,0,0.7819767441860465,200,0.1111111111111111,0.6734006734006734,747,0,0.7294921875,149,0.4444444444444444,0.5797665369649806,0.24164401,0.2222222222222222,0.9230401850816888,61,0.1111111111111111,0.61,36,0.3333333333333333,0.43902439024390244,1019,0.2222222222222222,0.7790519877675841,4.0977131,0.4444444444444444,0.7182760598832554,1.26611227,0.3333333333333333,0.8331176033859935
2025,Erie Lakers,ERIE,1,82,1055,0.8888888888888888,0.9869036482694107,265,0.8888888888888888,0.9201388888888888,1026,1,1,188,1,1,0.26142838,1,1,93,1,1,57,0.7777777777777778,0.6627906976744186,1160,0.5555555555555556,0.9041309431021044,3.9809499,0.4444444444444444,0.8875314632821679,1.25965553,0.4444444444444444,0.8898001106699384
2025,Louisville Sluggers,LVSL,2,81,1069,1,1,249,0.4444444444444444,0.8645833333333334,962,0.7777777777777778,0.9376218323586745,185,0.8888888888888888,0.9840425531914894,0.25171323,0.8888888888888888,0.9628381968323408,70,0.4444444444444444,0.7526881720430108,86,1,1,1244,0.7777777777777778,0.9696024941543258,3.53321829,1,1,1.19672131,0.6666666666666666,0.9365936919766222
2025,Hoosiers,HOOS,3,64,997,0.7777777777777778,0.9326473339569691,254,0.5555555555555556,0.8819444444444444,929,0.6666666666666666,0.905458089668616,183,0.7777777777777778,0.973404255319149,0.2435026,0.1111111111111111,0.9314313924142437,77,0.7777777777777778,0.8279569892473119,56,0.6666666666666666,0.6511627906976745,1277,0.8888888888888888,0.995323460639127,3.85094996,0.5555555555555556,0.9174926516053717,1.31415574,0.2222222222222222,0.8528986298077578
2025,Westside Marauders,WM,4,62,920,0.4444444444444444,0.8606173994387278,288,1,1,965,0.8888888888888888,0.9405458089668616,124,0.2222222222222222,0.6595744680851063,0.24841954,0.3333333333333333,0.9502393733993225,76,0.6666666666666666,0.8172043010752689,29,0.3333333333333333,0.3372093023255814,1283,1,1,4.1018011,0.3333333333333333,0.8613821596566444,1.22631167,0.5555555555555556,0.9139940990694477
2025,National Pastime,PAST,4,62,901,0.2222222222222222,0.842843779232928,260,0.7777777777777778,0.9027777777777778,921,0.5555555555555556,0.8976608187134503,125,0.3333333333333333,0.6648936170212766,0.24736392,0.2222222222222222,0.946201479732231,79,0.8888888888888888,0.8494623655913979,60,0.8888888888888888,0.6976744186046512,1143,0.4444444444444444,0.8908807482462977,3.84461289,0.6666666666666666,0.919004953447992,1.19220357,0.7777777777777778,0.940142823091865
2025,Melonheads,MELO,6,58,916,0.3333333333333333,0.8568755846585594,223,0.3333333333333333,0.7743055555555556,889,0.4444444444444444,0.8664717348927875,178,0.6666666666666666,0.9468085106382979,0.2510355,0.5555555555555556,0.9602457850980066,66,0.3333333333333333,0.7096774193548387,28,0.2222222222222222,0.32558139534883723,1197,0.6666666666666666,0.9329696024941543,3.5928348,0.7777777777777778,0.983406832398751,1.12084163,1,1
2025,Blue Socks,BLUE,7,46,897,0.1111111111111111,0.8391019644527596,196,0,0.6805555555555556,821,0,0.8001949317738791,163,0.5555555555555556,0.8670212765957447,0.25159328,0.7777777777777778,0.9623793713597582,53,0,0.5698924731182796,54,0.5555555555555556,0.627906976744186,1072,0.2222222222222222,0.8355416991426344,3.55410062,0.8888888888888888,0.9941244404048415,1.14851826,0.8888888888888888,0.9759023160850747
2025,Big Red Machine,BIGR,8,41,921,0.5555555555555556,0.8615528531337698,259,0.6666666666666666,0.8993055555555556,880,0.3333333333333333,0.8576998050682261,129,0.4444444444444444,0.6861702127659575,0.25056844,0.4444444444444444,0.9584592154837971,63,0.2222222222222222,0.6774193548387096,51,0.4444444444444444,0.5930232558139535,1003,0.1111111111111111,0.7817614964925955,4.63772642,0.1111111111111111,0.7618427587196919,1.3182386,0.1111111111111111,0.8502570247905046
2025,Free Birds,FREE,9,39,923,0.6666666666666666,0.8634237605238541,197,0.1111111111111111,0.6840277777777778,866,0.2222222222222222,0.8440545808966862,118,0,0.6276595744680851,0.25126689,0.6666666666666666,0.9611308841067676,71,0.5555555555555556,0.7634408602150538,26,0.1111111111111111,0.3023255813953488,1091,0.3333333333333333,0.8503507404520655,4.13677722,0.2222222222222222,0.8540992425016304,1.30672146,0.3333333333333333,0.8577509930846319
2025,Free at Last,FAL,10,15,810,0,0.7577174929840973,218,0.2222222222222222,0.7569444444444444,825,0.1111111111111111,0.804093567251462,119,0.1111111111111111,0.6329787234042553,0.24196821,0,0.925562136750417,56,0.1111111111111111,0.6021505376344086,3,0,0.03488372093023256,796,0,0.6204208885424786,4.8698433,0,0.7255301808171117,1.3287496,0,0.8435311137628939
