Name,Team,player_type,fg_auction_dollars,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_hitting,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,sgp_pitching,sgp_total,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,p_dh,p_sp,p_rp,replacement_position,replacement_level_sgp,repl_sgp_total,repl_sgp_R,repl_sgp_HR,repl_sgp_RBI,repl_sgp_SB,repl_sgp_AVG,repl_sgp_W,repl_sgp_SV,repl_sgp_SO,repl_sgp_ERA,repl_sgp_WHIP,sgpar_R,sgpar_HR,sgpar_RBI,sgpar_SB,sgpar_AVG,sgpar_W,sgpar_SV,sgpar_SO,sgpar_ERA,sgpar_WHIP,sgpar_hitting,sgpar_pitching,sgpar_total,sgpar,$_R,$_RBI,$_HR,$_SB,$_AVG,$_W,$_SV,$_SO,$_ERA,$_WHIP,$_cat,standings_value
Victor Vodnik,COL,pitcher,-0.3760455604943187,NA,NA,NA,NA,NA,NA,NA,NA,64,3,23,62,4.25327,1.45747,0,0,0,0,0,0,0.07358973439795427,0.3209160415374765,0.17109442596999433,0.02051267782863718,-0.00873218661747625,0.5773806931165861,0.5773806931165861,0,0,0,0,0,0,0,0,0,0,1,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,-0.06868375210475733,0.28463857597237047,-0.0698175641458203,0.0013976114930162285,-0.01880712749422328,0,0.1287277437205858,0.1287277437205858,0.1287277437205858,0,0,0,0,0,-3.9581151832460755,32.02325581395353,-1.989225393127548,0.09994638463672013,-1.3917953741359819,24.78406624808065,24.78406624808065
Ronald Acuna Jr.,ATL,hitter,37.63104240419585,651,548,157,31,115,84,26,0.285794,NA,NA,NA,NA,NA,NA,0.3953690958595557,0.3727331639037517,0.472939928563431,0.21451400323634084,0.17735396061604594,1.6329101521791252,0,0,0,0,0,0,1.6329101521791252,0,0,0,0,0,1,0,0,1,0,0,OF,0.5234999294017727,0.5234999294017727,0.1388948823715309,0.14668853547179908,0.2319657744858733,0.03960258521286292,-0.03365184814029351,0,0,0,0,0,0.2564742134880248,0.22604462843195264,0.24097415407755768,0.17491141802347793,0.21100580875633945,0,0,0,0,0,1.1094102227773526,0,1.1094102227773526,1.1094102227773526,3.956082806300821,2.3836633663366324,3.8292094146047084,5.958775765146785,6.908749463644156,0,0,0,0,0,23.036480816033105,23.036480816033105
Juan Soto,NYM,hitter,38.95214031863178,686,548,149,38,114,102,23,0.272187,NA,NA,NA,NA,NA,NA,0.3919311037216465,0.45689871704330853,0.5742841989698805,0.18976238747830151,0.12217327288060012,1.7350496800937372,0,0,0,0,0,0,1.7350496800937372,0,0,0,0,0,1,0,0,1,0,0,OF,0.5234999294017727,0.5234999294017727,0.1388948823715309,0.14668853547179908,0.2319657744858733,0.03960258521286292,-0.03365184814029351,0,0,0,0,0,0.2530362213501156,0.3102101815715095,0.3423184244840072,0.1501598022654386,0.15582512102089363,0,0,0,0,0,1.2115497506919646,0,1.2115497506919646,1.2115497506919646,3.903052205680167,3.3861386138613847,5.254978877489441,5.115552779512806,5.102024098865196,0,0,0,0,0,22.761746575408996,22.761746575408996
Trea Turner,PHI,hitter,26.055872013007413,644,591,167,19,92,73,28,0.282575,NA,NA,NA,NA,NA,NA,0.31629527668764457,0.22844935852165427,0.4110073188706007,0.23101508040836707,0.17719204297953445,1.363959077467801,0,0,0,0,0,0,1.363959077467801,0,0,0,0,1,0,0,1,1,0,0,SS,0.24912776719314625,0.24912776719314625,0.06738464590301993,0.04328514161462923,0.10021822295748894,0.0379524774956603,2.872792223478263e-4,0,0,0,0,0,0.24891063078462464,0.18516421690702503,0.31078909591311177,0.19306260291270677,0.1769047637571866,0,0,0,0,0,1.1148313102746548,0,1.1148313102746548,1.1148313102746548,3.839415484935382,3.074257425742573,3.1366928183464102,6.5771392879450365,5.792213488941876,0,0,0,0,0,22.419718505911277,22.419718505911277
Nick Pivetta,SDP,pitcher,16.053523822742946,NA,NA,NA,NA,NA,NA,NA,NA,173,10,0,190,3.9177,1.16928,0,0,0,0,0,0,0.2452991146598476,0,0.5243216279725633,0.08136071614635447,0.10400887533903824,0.9549903341178037,0.9549903341178037,0,0,0,0,0,0,0,0,0,1,0,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,0.103025628157136,-0.03627746556510604,0.28340963785674866,0.06224564981073352,0.09393393446229122,0,0.5063373847218035,0.5063373847218035,0.5063373847218035,0,0,0,0,0,5.937172774869114,-4.081395348837215,8.074839836924864,4.451328347708372,6.951450480631132,21.333396091296265,21.333396091296265
Spencer Strider,ATL,pitcher,15.489437482615756,NA,NA,NA,NA,NA,NA,NA,NA,159,11,0,187,3.84575,1.20674,0,0,0,0,0,0,0.26982902612583237,0,0.516042865425628,0.07988290882462068,0.08034670513901346,0.9461015055150944,0.9461015055150944,0,0,0,0,0,0,0,0,0,1,0,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,0.12755553962312077,-0.03627746556510604,0.2751308753098134,0.06076784248899973,0.07027176426226643,0,0.49744855611909433,0.49744855611909433,0.49744855611909433,0,0,0,0,0,7.350785340314141,-4.081395348837215,7.83896330809551,4.345646976501121,5.200364407729871,20.65436468380343,20.65436468380343
Fernando Tatis Jr.,SDP,hitter,33.09456781641043,672,586,158,30,102,90,25,0.269927,NA,NA,NA,NA,NA,NA,0.35067519806673636,0.3607095134552436,0.5067213520322474,0.20626346465032777,0.12084459730973464,1.54521412551429,0,0,0,0,0,0,1.54521412551429,0,0,0,0,0,1,0,0,1,0,0,OF,0.5234999294017727,0.5234999294017727,0.1388948823715309,0.14668853547179908,0.2319657744858733,0.03960258521286292,-0.03365184814029351,0,0,0,0,0,0.21178031569520547,0.21402097798344452,0.27475557754637414,0.16666087943746485,0.15449644545002816,0,0,0,0,0,1.0217141961125171,0,1.0217141961125171,1.0217141961125171,3.266684998232314,2.7178217821782162,3.6255280627640327,5.677701436602127,5.058520620493309,0,0,0,0,0,20.34625690027,20.34625690027
Zac Gallen,ARI,pitcher,10.34616954371145,NA,NA,NA,NA,NA,NA,NA,NA,182,13,0,170,4.02787,1.28006,0,0,0,0,0,0,0.31888884905780185,0,0.4691298776596619,0.07664356393141553,0.0578134222728781,0.9224757129217572,0.9224757129217572,0,0,0,0,0,0,0,0,0,1,0,P,0.4486529493960002,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.01007494087674703,0,0,0,0,0,0.17661536255509025,-0.03627746556510604,0.22821788754384728,0.05752849759579458,0.04773848139613107,0,0.4738227635257572,0.4738227635257572,0.4738227635257572,0,0,0,0,0,10.178010471204193,-4.081395348837215,6.502329644729175,4.11399403697888,3.5328200755708155,20.245758879645848,20.245758879645848
Kyle Tucker,LAD,hitter,34.05764280781233,651,555,149,33,101,99,22,0.268386,NA,NA,NA,NA,NA,NA,0.3472372059288272,0.3967804648007679,0.5573934872354722,0.1815118488922884,0.10812272600568971,1.5910457328630456,0,0,0,0,0,0,1.5910457328630456,0,0,0,0,0,1,0,0,1,0,0,OF,0.5234999294017727,0.5234999294017727,0.1388948823715309,0.14668853547179908,0.2319657744858733,0.03960258521286292,-0.03365184814029351,0,0,0,0,0,0.2083423235572963,0.25009192932896884,0.3254277127495989,0.1419092636794255,0.1417745741459832,0,0,0,0,0,1.0675458034612728,0,1.0675458034612728,1.0675458034612728,3.213654397611659,3.219059405940593,4.23657211828606,4.834478450968147,4.641981274650632,0,0,0,0,0,20.14574564745709,20.14574564745709
Corbin Carroll,ARI,hitter,31.71263828093123,630,548,142,27,100,88,33,0.258531,NA,NA,NA,NA,NA,NA,0.343799213790918,0.32463856210971925,0.495460877542642,0.2722677733384326,0.06679387465062664,1.5029603014323385,0,0,0,0,0,0,1.5029603014323385,0,0,0,0,0,1,0,0,1,0,0,OF,0.5234999294017727,0.5234999294017727,0.1388948823715309,0.14668853547179908,0.2319657744858733,0.03960258521286292,-0.03365184814029351,0,0,0,0,0,0.2049043314193871,0.17795002663792017,0.2634951030567687,0.2326651881255697,0.10044572279092015,0,0,0,0,0,0.9794603720305658,0,0.9794603720305658,0.9794603720305658,3.1606237969910045,2.6064356435643554,3.0144840072420047,7.926296064959403,3.288792557642184,0,0,0,0,0,19.996632070398952,19.996632070398952
