team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
BIG RED MACHINE,23,210,9.759769730339666,7619,6783,1687,265,932,933,112,0.24871001031991744,1116,69,70,1093,478.51939555555555,1388.42027,3.859027383512544,1.2441041845878136,10,5,9,2,2,6,8,5,6,6,28,31,59,6,40
FREE BIRDS,23,243,9.028439286722229,7207,6380,1632,220,876,864,141,0.25579937304075234,1399,85,0,1323,625.0537144444445,1774.9839500000003,4.02107464617584,1.2687519299499646,2,2,1,4,6,9,2,8,3,3,15,25,40,7,40
FREE AT LAST,22,226,8.236330853196558,7984,6988,1726,256,985,922,156,0.24699484831139096,1036,57,27,883,490.64011777777785,1370.5702999999999,4.262317625482626,1.3229443050193048,7,8,5,8,1,2,5,1,1,1,29,10,39,8,40
ERIE LAKERS,23,191,8.05727172652564,7177,6396,1669,235,899,879,125,0.2609443402126329,1092,61,25,1043,508.9259011111111,1422.3644799999997,4.19444423992674,1.302531575091575,4,4,2,3,9,3,4,3,2,2,22,14,36,9,40
LOUISVILLE SLUGGERS,23,223,10.672401391286307,7730,6947,1813,256,989,943,161,0.2609759608464085,938,61,96,990,386.3428244444445,1136.5159199999998,3.7069140938166316,1.2116374413646054,8,9,8,6,10,2,9,2,10,9,41,32,73,1,41
WESTSIDE MARAUDERS,23,269,11.096188246509229,7393,6594,1692,249,946,911,188,0.25659690627843496,1287,81,54,1327,550.1275222222221,1576.8733660000003,3.8470456099456087,1.2252318306138308,6,7,6,9,8,7,8,9,7,6,36,37,73,1,41
MELONHEADS,23,268,10.714746255466354,7440,6638,1683,253,936,918,172,0.2535402229587225,1381,86,0,1359,576.7276988888889,1669.11923,3.758544018826937,1.208630868935554,7,6,7,7,4,10,2,10,8,10,31,40,71,2,41
NATIONAL PASTIME,23,270,10.477370355420156,7556,6742,1722,248,934,899,137,0.2554138237911599,1263,82,52,1272,526.3037733333333,1546.00638,3.750383182897862,1.2240747268408552,5,5,4,4,6,8,7,7,9,7,24,38,62,3,41
HOOSIERS,23,237,10.398417481934054,8047,7140,1777,287,1015,1015,204,0.2488795518207283,1220,72,11,1096,543.6727233333334,1552.8922599999999,4.010700418032787,1.272862508196721,10,10,10,10,1,5,3,5,3,4,41,20,61,4,41
BLUE SOCKS,23,270,10.127356228875486,7634,6897,1767,228,926,911,179,0.256198347107438,1001,64,115,1028,432.7305611111111,1218.1238,3.8906843656343657,1.2169068931068932,2,3,6,8,7,4,10,4,6,8,26,32,58,5,41
BIG RED MACHINE,23,206,9.822347974010022,7699,6840,1723,266,958,952,132,0.2519005847953216,1247,75,27,1166,554.1724822222222,1592.12745,3.9996410104250204,1.2767661988773056,9,8,9,3,3,6,5,6,4,3,32,24,56,6,41
FREE BIRDS,23,244,9.142684701549587,7407,6570,1673,230,905,885,125,0.25464231354642314,1353,84,0,1297,599.8032444444445,1716.47533,3.989822025129343,1.2686439985218034,3,2,3,2,5,9,2,8,5,5,15,29,44,7,41
ERIE LAKERS,23,197,7.948224762177852,7349,6504,1674,246,931,906,122,0.257380073800738,1049,62,22,947,488.01197666666667,1371.9366799999998,4.186947368922784,1.3078519351763582,4,4,5,1,9,3,4,1,1,1,23,10,33,8,41
FREE AT LAST,22,222,8.086811625185172,7361,6512,1636,227,900,867,139,0.2512285012285012,1113,61,36,1025,513.0524211111111,1445.41299,4.148671868823001,1.298663962264151,1,1,2,5,2,2,6,3,2,2,11,15,26,9,41
WESTSIDE MARAUDERS,23,261,11.00513951439351,7687,6873,1761,265,967,951,143,0.2562199912701877,1210,77,63,1231,515.2435788888888,1471.905056,3.8323902561983463,1.2164504595041323,8,8,8,4,5,9,8,8,8,9,33,42,75,1,42
LOUISVILLE SLUGGERS,23,208,10.771590518953504,7928,7146,1845,272,998,981,165,0.25818639798488663,1049,64,74,1055,464.6275255555556,1345.0125299999997,3.9863181410867496,1.2821854432793134,10,9,10,8,10,5,9,3,3,2,47,22,69,2,42
BLUE SOCKS,23,269,10.04857728732271,7456,6729,1730,226,909,896,180,0.2570961509882598,1111,70,80,1147,472.08624444444445,1380.58403,3.8242810081008103,1.2426498919891988,3,4,4,9,7,6,10,4,9,7,27,36,63,3,42
