Name,Team,player_type,fg_auction_dollars,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_hitting,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,sgp_pitching,sgp_total,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,p_dh,p_sp,p_rp,replacement_position,replacement_level_sgp,repl_sgp_total,repl_sgp_R,repl_sgp_HR,repl_sgp_RBI,repl_sgp_SB,repl_sgp_AVG,repl_sgp_W,repl_sgp_SV,repl_sgp_SO,repl_sgp_ERA,repl_sgp_WHIP,sgpar_R,sgpar_HR,sgpar_RBI,sgpar_SB,sgpar_AVG,sgpar_W,sgpar_SV,sgpar_SO,sgpar_ERA,sgpar_WHIP,sgpar_hitting,sgpar_pitching,sgpar_total,sgpar,$_R,$_RBI,$_HR,$_SB,$_AVG,$_W,$_SV,$_SO,$_ERA,$_WHIP,$_cat,standings_value,billikenTeam,slot,contract,salary
Emilio Pagan,CIN,pitcher,6.607156486295125,NA,NA,NA,NA,NA,NA,NA,NA,66,3,27,71,4.0446,1.19264,0,0,0,0,0,0,0.07358973439795427,0.376727527022255,0.19593071361079997,0.0273009661948353,0.03573341549754488,0.7092823567233895,0.7092823567233895,0,0,0,0,0,0,0,0,0,0,1,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0,0,0,0,0,-0.06868375210475733,0.34045006145714896,-0.04442935900188563,0.00811157220462869,0.02551720662982293,0,0.26096572918495764,0.26096572918495764,0.26096572918495764,0,0,0,0,0,-3.666343355965085,37.346938775510225,-1.171729696218227,0.5678189343839146,1.8158941261492112,34.89257878386004,34.89257878386004,Louisville Sluggers,P,2,1
Dennis Santana,PIT,pitcher,7.195537286601541,NA,NA,NA,NA,NA,NA,NA,NA,68,4,26,63,3.72236,1.24686,0,0,0,0,0,0,0.09811964586393904,0.3627746556510604,0.17385401348563942,0.03790889076285887,0.02737914613588645,0.7000363518993842,0.7000363518993842,0,0,0,0,0,0,0,0,0,0,1,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0,0,0,0,0,-0.04415384063877256,0.32649719008595435,-0.06650605912704619,0.01871949677265225,0.01716293726816451,0,0.25171972436095236,0.25171972436095236,0.25171972436095236,0,0,0,0,0,-2.356935014548983,35.816326530612265,-1.753955632227284,1.3103852670614418,1.221374950042625,34.23719610094007,34.23719610094007,National Pastime,P,2,3
Logan Webb,SFG,pitcher,27.782949376715827,NA,NA,NA,NA,NA,NA,NA,NA,202,14,0,191,3.18582,1.16836,0,0,0,0,0,0,0.3434187605237866,0,0.5270812154882084,0.16098788946850223,0.12191956303683855,1.153407428517336,1.153407428517336,0,0,0,0,0,0,0,0,0,1,0,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0,0,0,0,0,0.20114527402107504,-0.03627746556510604,0.2867211428755228,0.14179849547829562,0.1117033541691166,0,0.705090800978904,0.705090800978904,0.705090800978904,0,0,0,0,0,10.737148399612034,-3.9795918367346967,7.561659343917628,9.926049915919329,7.949203361068343,32.19446918378264,32.19446918378264,Hoosiers,P,2026,16
Cristopher Sanchez,PHI,pitcher,26.53242456665689,NA,NA,NA,NA,NA,NA,NA,NA,200,12,0,193,3.21333,1.16077,0,0,0,0,0,0,0.2943589375918171,0,0.5326003905194985,0.15693811757239137,0.1245978938773744,1.1084953395610817,1.1084953395610817,0,0,0,0,0,0,0,0,0,1,0,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0,0,0,0,0,0.15208545108910548,-0.03627746556510604,0.2922403179068129,0.13774872358218476,0.11438168500965246,0,0.6601787120226494,0.6601787120226494,0.6601787120226494,0,0,0,0,0,8.11833171677983,-3.9795918367346967,7.707215827919891,9.642561449745603,8.139802798999337,29.62831995670996,29.62831995670996,NA,NA,NA,NA
Chris Sale,ATL,pitcher,28.152424446892848,NA,NA,NA,NA,NA,NA,NA,NA,165,12,0,200,3.1503,1.10333,0,0,0,0,0,0,0.2943589375918171,0,0.551917503129014,0.13411599245908698,0.12705201769243535,1.107444450872353,1.107444450872353,0,0,0,0,0,0,0,0,0,1,0,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0,0,0,0,0,0.15208545108910548,-0.03627746556510604,0.3115574305163284,0.11492659846888036,0.1168358088247134,0,0.6591278233339217,0.6591278233339217,0.6591278233339217,0,0,0,0,0,8.11833171677983,-3.9795918367346967,8.216663521927815,8.044987707528502,8.314446876827343,28.714837986328792,28.714837986328792,Westside Marauders,P,Opt,13
Elly De La Cruz,CIN,hitter,30.351403625880454,672,598,157,24,96,89,41,0.262182,NA,NA,NA,NA,NA,NA,0.3300472452392813,0.2885676107641949,0.5010911147874447,0.33827208202653747,0.0890450744932873,1.5470231273107458,0,0,0,0,0,0,1.5470231273107458,0,0,0,0,1,0,0,1,1,0,0,SS,0.349246920629834,0.349246920629834,0.0955761814338752,0.0504993318837341,0.13625174132422654,0.05775377010209177,0.00916589588590633,0,0,0,0,0,0.2344710638054061,0.2380682788804608,0.36483937346321815,0.2805183119244457,0.07987917860738097,0,0,0,0,0,1.1977762066809117,0,1.1977762066809117,1.1977762066809117,3.848758465011288,3.661936456109508,3.596609257265877,14.321372854914198,2.9315488970988306,0,0,0,0,0,28.360225930399704,28.360225930399704,Hoosiers,SS,2030,30
Abner Uribe,MIL,pitcher,9.979390464358842,NA,NA,NA,NA,NA,NA,NA,NA,72,4,19,87,3.11763,1.20632,0,0,0,0,0,0,0.09811964586393904,0.26510455605269795,0.24008411386112108,0.05957327077104654,0.03646081560178507,0.6993424021505896,0.6993424021505896,0,0,0,0,0,0,0,0,0,0,1,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0,0,0,0,0,-0.04415384063877256,0.22882709048759192,-2.7595875156452565e-4,0.04038387678083993,0.02624460673406312,0,0.2510257746121579,0.2510257746121579,0.2510257746121579,0,0,0,0,0,-2.356935014548983,25.102040816326543,-0.0072778242001137,2.826915584490874,1.8676584746459752,27.432402036714297,27.432402036714297,NA,NA,NA,NA
Hunter Greene,CIN,pitcher,22.55968904514164,NA,NA,NA,NA,NA,NA,NA,NA,180,11,0,212,3.73339,1.11403,0,0,0,0,0,0,0.26982902612583237,0,0.5850325533167549,0.09946087519082523,0.1336724338151484,1.0879948884485608,1.0879948884485608,0,0,0,0,0,0,0,0,0,1,0,P,0.44831662753843177,0.44831662753843177,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.2403600726126856,0.01918939399020661,0.01021620886772194,0,0,0,0,0,0.12755553962312077,-0.03627746556510604,0.34467248070406925,0.08027148120061862,0.12345622494742646,0,0.6396782609101291,0.6396782609101291,0.6396782609101291,0,0,0,0,0,6.80892337536373,-3.9795918367346967,9.0900024259414,5.619091560418419,8.785578961318425,26.32400448630728,26.32400448630728,Westside Marauders,P,Opt,14
Ronald Acuna Jr.,ATL,hitter,38.594139850135655,651,548,157,31,115,84,26,0.285723,NA,NA,NA,NA,NA,NA,0.3953690958595557,0.3727331639037517,0.472939928563431,0.21451400323634084,0.17706603316479175,1.632622224727871,0,0,0,0,0,0,1.632622224727871,0,0,0,0,0,1,0,0,1,0,0,OF,0.5026163653016014,0.5026163653016014,0.13683208708878536,0.11542704430567796,0.21507506275146504,0.06105398553649701,-0.02577181438082402,0,0,0,0,0,0.25853700877077035,0.25730611959807376,0.25786486581196594,0.15346001769984385,0.20283784754561576,0,0,0,0,0,1.1300058594262696,0,1.1300058594262696,1.1300058594262696,4.243792325056434,2.58822051990456,3.887244348762109,7.834633385335414,7.4441059438648995,0,0,0,0,0,25.997996522923415,25.997996522923415,Westside Marauders,OF,2026,46
Juan Soto,NYM,hitter,39.89588308562155,686,548,149,38,114,102,23,0.272142,NA,NA,NA,NA,NA,NA,0.3919311037216465,0.45689871704330853,0.5742841989698805,0.18976238747830151,0.12199078365093188,1.734867190864069,0,0,0,0,0,0,1.734867190864069,0,0,0,0,0,1,0,0,1,0,0,OF,0.5026163653016014,0.5026163653016014,0.13683208708878536,0.11542704430567796,0.21507506275146504,0.06105398553649701,-0.02577181438082402,0,0,0,0,0,0.25509901663286116,0.34147167273763057,0.35920913621841544,0.1287084019418045,0.1477625980317559,0,0,0,0,0,1.2322508255624676,0,1.2322508255624676,1.2322508255624676,4.187358916478556,3.60542509104609,5.158772874058125,6.570982839313573,5.422855978797282,0,0,0,0,0,24.945395699693627,24.945395699693627,Erie Lakers,OF,2,37
