team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
NATIONAL PASTIME,23,259,10.386294239713477,7555,6788,1740,254,926,920,143,0.2563347083087802,1243,78,52,1222,537.5898622222222,1529.9259000000002,3.892444698310539,1.2308333869670154,7,4,6,4,6,9,7,8,6,8,27,38,65,4,44
BLUE SOCKS,22,270,10.123908209683153,7327,6641,1705,221,897,880,156,0.25673844300557147,1199,74,56,1203,514.6724077777778,1462.0596600000001,3.8632624437030865,1.2193992160133444,3,2,3,7,7,7,8,7,7,10,22,39,61,5,44
BIG RED MACHINE,23,203,9.777498161648849,7619,6783,1687,265,932,933,112,0.24871001031991744,1187,72,59,1134,518.9894233333333,1492.2160000000001,3.935050387531592,1.2571322662173547,10,6,9,1,2,6,9,5,4,4,28,28,56,6,44
MELONHEADS,23,239,9.742301339531675,7398,6580,1683,241,924,909,154,0.25577507598784194,1227,75,27,1190,534.9245066666667,1500.6919599999999,3.923651638141809,1.2230578321108394,5,3,5,6,5,8,2,6,5,9,24,30,54,7,44
ERIE LAKERS,23,209,8.277140855594284,7363,6548,1696,255,929,924,119,0.259010384850336,1082,60,31,946,496.8695966666666,1435.08943,4.1329264048059144,1.3263303419593346,8,5,8,2,9,3,3,2,2,1,32,11,43,8,44
FREE BIRDS,23,246,9.024572485518906,7228,6387,1624,222,877,854,140,0.2542664787850321,1344,84,0,1341,594.8876266666667,1701.6342800000002,3.9836225000000005,1.2660969345238098,4,1,2,3,4,10,1,9,3,3,14,26,40,9,44
FREE AT LAST,22,246,8.450172329548916,7746,6787,1683,241,959,897,171,0.2479740680713128,969,58,49,894,449.4234155555556,1244.49426,4.174211289989681,1.284307801857585,5,8,4,8,1,2,6,1,1,2,26,12,38,10,44
NATIONAL PASTIME,23,267,10.570289943930526,7811,7029,1796,258,945,947,151,0.2555128752311851,1179,76,52,1214,503.8600855555556,1456.9831800000002,3.846260195080577,1.2357787786259544,8,8,9,4,6,8,6,7,9,8,35,38,73,1,45
LOUISVILLE SLUGGERS,23,212,10.7114255047239,7681,6887,1807,252,987,933,167,0.262378394075795,1039,66,80,1064,448.40536444444444,1296.60573,3.8841658132820016,1.2479362175168431,7,9,8,8,10,4,10,3,8,5,42,30,72,2,45
WESTSIDE MARAUDERS,21,270,10.85318194115622,7127,6386,1662,241,911,889,158,0.2602568117757595,1220,77,32,1241,517.9638,1482.6175360000002,3.821044426229508,1.2152602754098363,4,4,4,7,9,9,4,9,10,10,28,42,70,3,45
HOOSIERS,23,236,10.274787013715319,7949,7055,1766,268,1002,984,209,0.2503189227498228,1125,70,36,1055,488.27749444444447,1414.8797399999999,3.9062199555555552,1.2576708799999998,10,10,10,10,3,5,5,2,6,3,43,21,64,4,45
BLUE SOCKS,23,266,10.082096136917789,7767,7031,1824,226,943,933,180,0.2594225572464799,1111,70,56,1127,490.1957466666667,1373.4627799999998,3.970982646264627,1.236240126012601,2,7,8,9,7,5,7,5,3,7,33,27,60,5,45
BIG RED MACHINE,23,210,9.759006086568732,7528,6664,1664,267,943,920,118,0.24969987995198079,1194,73,59,1138,518.0865222222222,1499.35085,3.9051747906197654,1.255737730318258,9,7,7,1,2,6,9,6,7,4,26,32,58,6,45
MELONHEADS,23,231,9.773711271808299,7447,6606,1659,243,929,903,153,0.2511353315168029,1265,75,27,1220,551.0130766666666,1550.17045,3.9202511383399203,1.225431185770751,5,6,5,5,4,7,3,8,5,9,25,32,57,7,45
