team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
ERIE LAKERS,23,188,8.090956780636185,7240,6451,1688,242,907,902,117,0.26166485816152535,1061,60,45,924,486.01527444444446,1429.48724,4.12265548539114,1.3473018284637135,4,2,5,1,10,2,7,1,1,1,22,12,34,9,48
FREE AT LAST,23,247,8.37647106907045,7428,6500,1605,232,927,871,166,0.2469230769230769,1168,68,29,1074,529.0850311111111,1469.9273500000002,4.076853835616438,1.258499443493151,3,4,1,6,1,4,5,4,2,4,15,19,34,9,48
WESTSIDE MARAUDERS,23,268,11.06712779224019,7596,6832,1778,254,949,943,140,0.26024590163934425,1260,77,59,1277,536.1512733333334,1530.085346,3.8296519523809525,1.2143534492063492,7,6,7,3,8,8,7,9,6,8,31,38,69,1,49
HOOSIERS,23,230,10.262922245355197,7986,7091,1767,269,1009,983,200,0.24918911296009025,998,64,58,1006,416.9468288888889,1239.88906,3.7600415430861722,1.2423738076152304,9,10,10,10,2,3,6,2,9,6,41,26,67,2,49
LOUISVILLE SLUGGERS,23,210,10.632863464116792,7655,6886,1796,254,991,934,194,0.26081905315132153,1063,65,79,1009,469.10237111111115,1343.60491,3.9717039887111953,1.2639745155221072,7,9,6,9,10,4,9,3,5,4,41,25,66,3,49
MELONHEADS,23,229,9.79837032719977,7367,6527,1644,241,922,897,169,0.25187681936571166,1263,79,19,1219,533.4281822222223,1563.40427,3.8011509422011085,1.2378497783056215,5,4,4,8,5,9,3,8,8,7,26,35,61,4,49
NATIONAL PASTIME,23,269,10.367249719793655,7457,6692,1731,234,913,882,145,0.2586670651524208,1186,75,82,1198,494.51877,1436.1115300000001,3.75267194772344,1.2108866188870153,3,3,3,4,7,6,10,6,10,9,20,41,61,4,49
BLUE SOCKS,23,254,9.774570760453091,7267,6574,1690,217,894,867,166,0.25707331913599024,1141,75,61,1211,483.9915722222223,1376.2960699999999,3.817637291849256,1.20621916739702,2,2,1,7,6,6,8,7,7,10,18,38,56,5,49
BIG RED MACHINE,23,203,9.801136866056051,7671,6780,1698,271,964,947,120,0.2504424778761062,1267,76,27,1176,560.32779,1607.59602,3.980228973954223,1.2688208524072613,10,8,8,2,3,7,4,5,4,3,31,23,54,6,49
FREE BIRDS,23,245,9.225018051647995,7222,6410,1610,235,871,874,146,0.25117004680187205,1376,84,0,1353,619.6619400000002,1726.31195,4.053021409883722,1.2545871729651163,4,1,2,5,4,10,2,10,3,5,16,30,46,7,49
ERIE LAKERS,23,203,8.36269640439906,7464,6628,1726,261,940,949,110,0.2604103802051901,1003,60,28,899,454.49430333333333,1318.6331099999998,4.078214087736789,1.3146890428713855,8,5,9,1,9,2,5,1,2,1,32,11,43,8,49
FREE AT LAST,23,240,8.434317900077366,7690,6738,1664,244,953,900,165,0.24695755417037696,1277,72,0,1147,594.0984622222222,1659.3015799999998,4.187068253719655,1.2993747689898199,6,7,5,6,1,5,2,4,1,2,25,14,39,9,49
WESTSIDE MARAUDERS,23,268,11.267024941467847,7729,6943,1785,261,979,960,162,0.2570934754428921,1294,80,54,1264,561.8683522222223,1599.7586860000001,3.907894258114374,1.2362895564142196,8,8,9,7,8,9,9,9,6,8,40,41,81,1,50
NATIONAL PASTIME,23,265,10.365819282865457,7447,6685,1715,236,907,882,135,0.25654450261780104,1276,81,52,1277,533.0645277777778,1550.2810800000002,3.7598595219435738,1.2149538244514109,5,3,3,4,7,10,8,10,10,10,22,48,70,2,50
LOUISVILLE SLUGGERS,23,208,10.614646550278596,7798,7025,1833,266,994,951,174,0.2609252669039146,1123,67,50,1078,502.61513111111117,1418.10891,4.028082083704364,1.2627862065894924,10,10,8,8,10,4,7,2,3,3,46,19,65,3,50
HOOSIERS,23,233,10.411608888411852,7871,6992,1758,264,993,975,209,0.25143020594965676,1191,73,14,1121,513.5488744444444,1503.6723100000002,3.880721973131822,1.2625292275398825,9,9,10,10,3,5,1,4,8,4,41,22,63,4,50
BLUE SOCKS,23,254,9.856280671302484,7390,6659,1700,230,902,894,178,0.25529358762576965,1216,77,29,1246,519.5129000000001,1480.2354799999998,3.8450790296052633,1.217298914473684,4,2,4,9,5,8,3,8,9,9,24,37,61,5,50
MELONHEADS,23,218,9.721549367385332,7339,6493,1622,253,929,904,159,0.24980748498382874,1184,73,57,1123,511.90395666666666,1472.0707499999999,3.8911618327702704,1.2433029983108106,7,6,5,6,2,5,10,5,7,7,26,34,60,6,50
BIG RED MACHINE,23,201,9.797968801987773,7622,6768,1703,266,947,942,124,0.2516252955082742,1277,76,27,1192,558.1443100000001,1630.2164500000001,3.9336717227877847,1.2765986296006266,10,7,7,3,4,7,2,6,5,2,31,22,53,7,50
FREE BIRDS,23,256,9.273104851905273,7382,6545,1674,225,900,882,135,0.2557677616501146,1214,75,46,1208,532.4562744444445,1525.9190799999997,3.947369415156508,1.2569349917627675,3,1,3,4,6,6,5,7,4,6,17,28,45,8,50
ERIE LAKERS,23,210,8.175275767525346,7296,6481,1685,250,922,915,117,0.2599907421694183,974,60,35,905,438.5363311111111,1252.42909,4.052183757700205,1.2858614887063655,6,5,6,2,9,2,4,1,2,1,28,10,38,9,50
FREE AT LAST,23,240,8.177479672489595,7438,6520,1616,225,919,859,157,0.24785276073619633,1085,65,49,1081,491.0708355555556,1368.54201,4.0733986359447005,1.2613290414746543,3,4,2,5,1,3,6,3,1,5,15,18,33,10,50
