team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
LOUISVILLE SLUGGERS,23,165,10.600956113821807,7842,7062,1860,252,994,942,164,0.26338147833474934,1120,69,36,1152,487.2097,1410.36143,3.9150779464285717,1.2592512767857142,8,9,9,7,10,5,6,6,4,4,43,25,68,2,18
HOOSIERS,23,190,10.294495178570674,7879,6974,1754,257,1009,956,217,0.2515055921995985,1197,74,32,1066,516.9131977777778,1515.6510999999998,3.886565396825397,1.266208103592314,10,10,10,10,4,7,5,3,6,2,44,23,67,3,18
WESTSIDE MARAUDERS,23,213,10.775335352431298,7183,6438,1650,249,901,900,139,0.25629077353215285,1362,86,32,1395,588.1341855555556,1660.8807319999999,3.8863492437591782,1.2194425345080762,6,2,4,5,7,10,5,10,7,10,24,42,66,4,18
MELONHEADS,23,223,10.402463866269926,7430,6608,1659,249,931,910,183,0.2510593220338983,1382,86,0,1295,599.08166,1694.00277,3.9014001013024604,1.2257617727930536,6,6,5,8,2,10,3,8,5,9,27,35,62,5,18
BIG RED MACHINE,23,151,9.726169248605851,7367,6579,1675,237,910,893,132,0.25459796321629424,1321,80,27,1245,554.8476088888889,1657.85345,3.7801880999243,1.25499882664648,4,3,2,4,5,8,4,7,10,6,18,35,53,6,18
ERIE LAKERS,23,168,8.112642519875767,7454,6612,1703,247,935,913,118,0.2575620084694495,952,54,61,877,447.9488622222223,1249.48169,4.2348106722689085,1.3124807668067227,5,7,6,3,9,2,7,1,1,1,30,12,42,7,18
FREE BIRDS,23,188,9.370295285266922,7410,6561,1648,251,898,899,108,0.251181222374638,1393,85,0,1344,627.9790311111111,1756.09596,4.057294529791816,1.2606575448671933,7,1,3,2,3,9,3,9,2,3,16,26,42,7,18
FREE AT LAST,22,151,8.228822226309909,7424,6540,1628,234,917,871,139,0.2489296636085627,924,56,68,908,412.05319333333335,1163.2339599999998,4.01350512987013,1.2589112121212118,2,5,1,5,1,3,8,2,3,5,14,21,35,8,18
LOUISVILLE SLUGGERS,23,165,10.711676658537575,7473,6717,1749,251,969,916,178,0.2603841000446628,947,63,96,1045,392.29437444444443,1158.58753,3.7282464308342136,1.2234292819429777,7,9,6,9,10,5,10,4,10,8,41,37,78,1,19
WESTSIDE MARAUDERS,23,213,11.111520970823934,7372,6626,1717,249,924,917,156,0.2591306972532448,1386,87,32,1380,597.7284099999999,1685.2482519999999,3.881353311688311,1.2159078297258297,6,5,7,6,9,10,6,10,6,9,33,41,74,2,19
