team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
FREE BIRDS,23,242,9.227526129149874,7404,6542,1656,238,915,892,113,0.2531335982879853,1366,84,0,1321,608.6638544444445,1727.9061100000001,4.010230373352856,1.2649385871156662,3,5,3,1,4,10,1,10,3,4,16,28,44,7,48
ERIE LAKERS,23,205,8.026686500141269,7221,6428,1677,243,909,902,118,0.2608898568761668,1022,60,26,970,467.72982444444443,1336.92659,4.118951487279843,1.3081473483365949,5,4,5,2,10,2,3,2,2,1,26,10,36,8,48
FREE AT LAST,22,229,8.158720710305186,7452,6595,1643,237,902,896,125,0.2491281273692191,1067,62,29,1002,489.59774111111113,1353.7055099999998,4.129690412371135,1.2687024461105902,2,3,4,3,1,3,4,4,1,3,13,15,28,9,48
LOUISVILLE SLUGGERS,23,218,10.76467240106531,7725,6952,1809,262,985,953,168,0.26021288837744533,1068,70,52,1112,455.4837966666667,1321.0308699999998,3.838346601123596,1.236920290262172,8,10,10,8,10,4,7,4,8,6,46,29,75,1,49
WESTSIDE MARAUDERS,23,269,10.937773908463825,7267,6462,1662,267,935,927,145,0.25719591457753016,1281,80,59,1286,554.0950822222222,1561.156476,3.89293968774395,1.2187013864168619,10,5,6,4,7,8,9,9,6,10,32,42,74,2,49
BLUE SOCKS,23,254,10.62379057667488,7841,7071,1805,239,961,928,170,0.25526799604016404,1292,84,29,1283,535.033528888889,1576.6463199999998,3.727013746130032,1.2203144891640865,3,8,7,9,5,10,4,8,10,9,32,41,73,3,49
NATIONAL PASTIME,23,265,10.501227721096951,7681,6927,1785,253,946,937,157,0.2576873105240364,1125,71,63,1143,488.4912922222223,1377.00566,3.9079303377777785,1.2240050311111113,6,7,8,6,8,5,10,6,4,8,35,33,68,4,49
HOOSIERS,23,229,10.172708862574588,7743,6842,1709,255,983,940,211,0.24978076585793627,1176,73,39,1097,498.66008,1506.41817,3.816276122448979,1.280967831632653,7,9,9,10,3,6,6,3,9,3,38,27,65,5,49
BIG RED MACHINE,23,209,9.796510482174059,7605,6762,1686,265,937,927,113,0.24933451641526175,1179,71,59,1123,510.1935722222222,1470.6023,3.894607421543681,1.2473301950805769,9,6,6,1,2,5,9,5,5,5,24,29,53,6,49
MELONHEADS,23,240,9.877855580293781,7381,6550,1661,244,923,904,156,0.253587786259542,1290,77,27,1218,553.38625,1584.29186,3.860834302325581,1.2281332248062016,4,4,4,5,4,7,3,7,7,7,21,31,52,7,49
